Year,STATEID,State Abbreviation,CUSTOTT,JURTOTT,STATE POP,CUSTRATE,JURRATE
1988,10,DE,3045,3197,647622,0.47018168,0.493652161
1988,11,DC,8381,8831,630432,1.329405868,1.400785493
1988,12,FL,34327,34732,12306395,0.278936277,0.282227249
1988,13,GA,18787,18787,6316142,0.297444231,0.297444231
1988,15,HI,2155,2300,1079828,0.19956882,0.212996885
1988,16,ID,1493,1581,985664,0.151471495,0.160399487
1988,17,IL,21081,21081,11390183,0.185080433,0.185080433
1988,18,IN,11444,11406,5491735,0.208385874,0.207693926
1988,19,IA,3034,3034,2768388,0.109594464,0.109594464
1988,20,KS,5932,5817,2461996,0.240942715,0.236271708
1988,21,KY,6187,7119,3679999,0.168125046,0.19345114
1988,22,LA,12110,16242,4288863,0.282359217,0.378701768
1988,23,ME,1285,1277,1203840,0.10674176,0.10607722
1988,24,MD,14084,14276,4657904,0.30236776,0.306489786
1988,25,MA,6862,6757,5979982,0.114749509,0.112993651
1988,26,MI,27612,27612,9217998,0.299544435,0.299544435
1988,27,MN,2942,2799,4296166,0.068479663,0.065151114
1988,28,MS,6348,7384,2580352,0.246012947,0.286162508
1988,29,MO,12176,12176,5081736,0.239603159,0.239603159
1988,30,MT,1249,1272,800202,0.156085588,0.158959863
1988,31,NE,2161,2156,1571477,0.137513944,0.137195772
1988,32,NV,4902,4881,1075022,0.455990668,0.45403722
1988,33,NH,983,1019,1082577,0.090801855,0.094127254
1988,34,NJ,14652,16936,7712333,0.189981423,0.219596327
1988,35,NM,2745,2825,1490337,0.18418653,0.189554443
1988,36,NY,44560,44560,17941309,0.248365378,0.248365378
1988,37,NC,17292,17078,6480594,0.266827393,0.263525226
1988,38,ND,525,466,655331,0.080112188,0.071109104
1988,39,OH,26113,26462,10798552,0.241819459,0.245051374
1988,40,OK,8921,10448,3167057,0.281681069,0.329896178
1988,41,OR,4703,5991,2741297,0.171561126,0.218546185
1988,42,PA,17929,17900,11845752,0.151353836,0.151109022
1988,44,RI,1918,1906,996408,0.192491429,0.191287103
1988,45,SC,13002,13888,3412096,0.381056102,0.407022546
1988,46,SD,1030,1020,698165,0.147529595,0.146097269
1988,47,TN,7354,7732,4822437,0.152495512,0.160333873
1988,48,TX,40437,40437,16667022,0.242616827,0.242616827
1988,49,UT,2057,1961,1689372,0.121761223,0.116078638
1988,50,VT,770,820,549763,0.140060353,0.149155181
1988,51,VA,12787,14184,6036909,0.211813695,0.234954676
1988,53,WA,7089,5816,4639893,0.152783696,0.125347718
1988,54,WV,1482,1455,1830215,0.080974093,0.079498857
1988,55,WI,6159,6353,4822388,0.127716808,0.131739711
1988,56,WY,945,945,465101,0.203181675,0.203181675
1989,1,AL,13619,13907,4030222,0.337921832,0.34506784
1989,2,AK,2484,2744,547159,0.453981384,0.501499564
1989,4,AZ,13251,13251,3622185,0.365828913,0.365828913
1989,5,AR,5777,6649,2346358,0.246211362,0.283375342
1989,6,CA,87297,87297,29218164,0.298776473,0.298776473
1989,8,CO,6431,6908,3275818,0.196317378,0.210878626
1989,9,CT,8777,9301,3283403,0.267314125,0.283273177
1989,10,DE,3073,3458,658273,0.466827593,0.525313965
1989,11,DC,9218,9954,624168,1.476845977,1.594762948
1989,12,FL,39566,39999,12637715,0.313078749,0.316505001
1989,13,GA,20885,20885,6411099,0.32576318,0.32576318
1989,15,HI,2291,2459,1094588,0.209302496,0.224650736
1989,16,ID,1641,1850,994416,0.16502148,0.186038841
1989,17,IL,24712,24712,11409782,0.216586084,0.216586084
1989,18,IN,12353,12341,5523693,0.223636614,0.223419368
1989,19,IA,3584,3584,2770592,0.129358635,0.129358635
1989,20,KS,5628,5616,2472849,0.227591737,0.227106467
1989,21,KY,6878,8289,3677306,0.187039099,0.22540958
1989,22,LA,13119,17257,4252894,0.308472301,0.405770753
1989,23,ME,1442,1455,1219961,0.1182005,0.119266108
1989,24,MD,16248,16514,4727301,0.343705637,0.349332526
1989,25,MA,7610,7524,6015478,0.126506987,0.125077342
1989,26,MI,31639,31639,9253295,0.341921445,0.341921445
1989,27,MN,3140,3103,4338057,0.072382636,0.071529719
1989,28,MS,6752,7911,2574269,0.262288051,0.307310541
1989,29,MO,13921,13921,5095830,0.273184153,0.273184153
1989,30,MT,1308,1328,799636,0.163574426,0.166075564
1989,31,NE,2419,2393,1574864,0.153600565,0.151949629
1989,32,NV,5374,5112,1137382,0.472488575,0.449453218
1989,33,NH,1135,1166,1104522,0.102759384,0.105566028
1989,34,NJ,16017,19439,7726089,0.207310581,0.251602072
1989,35,NM,3001,3158,1503901,0.19954771,0.209987227
1989,36,NY,51232,51232,17983086,0.284889924,0.284889924
1989,37,NC,17665,17454,6565459,0.269059635,0.265845846
1989,38,ND,511,451,646351,0.079059211,0.069776329
1989,39,OH,30300,30538,10829217,0.279798623,0.281996381
1989,40,OK,9818,11608,3150307,0.311652166,0.368472025
1989,41,OR,5714,6156,2790575,0.204760668,0.220599697
1989,42,PA,19692,20469,11865996,0.165953199,0.172501322
1989,44,RI,2476,2479,1000666,0.247435208,0.247735008
1989,45,SC,14909,15720,3456775,0.431297958,0.454759132
1989,46,SD,1277,1256,696701,0.183292402,0.180278197
1989,47,TN,7769,10630,4854444,0.160038925,0.218974614
1989,48,TX,44022,44022,16806735,0.261930708,0.261930708
1989,49,UT,2433,2394,1705864,0.142625672,0.140339441
1989,50,VT,880,905,557707,0.157788947,0.162271587
1989,51,VA,14415,16477,6120246,0.235529748,0.269221205
1989,53,WA,7024,6928,4746316,0.147988461,0.14596584
1989,54,WV,1573,1536,1806568,0.087071176,0.085023094
1989,55,WI,6669,6788,4856574,0.137319024,0.139769311
1989,56,WY,1026,1026,458374,0.223834685,0.223834685
1990,1,AL,15351,15665,"4,050,055",0.37903189,0.386784871
1990,2,AK,2362,2622,"553,290",0.426900902,0.473892534
1990,4,AZ,14261,14261,"3,684,097",0.387096214,0.387096214
1990,5,AR,6569,7322,"2,356,586",0.278750701,0.310703704
1990,6,CA,97309,97309,"29,959,515",0.324801653,0.324801653
1990,8,CO,6783,7671,"3,307,618",0.205072049,0.231919164
1990,9,CT,10101,10500,"3,291,967",0.306837827,0.31895824
1990,10,DE,3058,3471,"669,567",0.45671307,0.518394724
1990,11,DC,8637,9947,"605,321",1.426846252,1.643260353
1990,12,FL,43992,44387,"13,033,307",0.337535209,0.340565905
1990,13,GA,22411,22411,"6,512,602",0.344117451,0.344117451
1990,15,HI,2390,2533,"1,113,491",0.214640262,0.227482755
1990,16,ID,1848,1961,"1,012,384",0.182539432,0.193701204
1990,17,IL,27516,27516,"11,453,316",0.240244834,0.240244834
1990,18,IN,12736,12736,"5,557,798",0.229155504,0.229155504
1990,19,IA,3967,3967,"2,781,018",0.142645607,0.142645607
1990,20,KS,5790,5775,"2,481,349",0.233340816,0.232736306
1990,21,KY,8330,9023,"3,694,048",0.225497882,0.24425779
1990,22,LA,14106,18599,"4,221,532",0.334144097,0.440574654
1990,23,ME,1541,1523,"1,231,719",0.125109704,0.123648332
1990,24,MD,17567,17848,"4,799,770",0.365996704,0.371851151
1990,25,MA,8345,8345,"6,022,639",0.138560521,0.138560521
1990,26,MI,34267,34267,"9,311,319",0.368014456,0.368014456
1990,27,MN,3215,3176,"4,389,857",0.07323701,0.072348598
1990,28,MS,7600,8375,"2,578,897",0.294699633,0.324751241
1990,29,MO,14943,14943,"5,128,880",0.291350158,0.291350158
1990,30,MT,1398,1425,"800,204",0.17470545,0.17807959
1990,31,NE,2446,2403,"1,581,660",0.154647649,0.151928986
1990,32,NV,5641,5322,"1,220,695",0.462113796,0.435981142
1990,33,NH,1357,1342,"1,112,384",0.121990248,0.120641793
1990,34,NJ,17746,21128,"7,762,963",0.228598281,0.272164121
1990,35,NM,3379,3187,"1,521,574",0.222072669,0.209454157
1990,36,NY,54895,54895,"18,020,784",0.304620487,0.304620487
1990,37,NC,18619,18411,"6,664,016",0.279396088,0.276274847
1990,38,ND,542,483,"637,685",0.084994943,0.075742726
