Year,FIPS,All Ages in Poverty Percent,Median Household Income in Dollars
1998,8115,14.6,"$29,024 "
1997,8115,14.2,"$28,209 "
1996,8115,NA,NA
1995,8115,12.9,"$26,759 "
1993,8115,12,"$25,111 "
1989,8115,12.5,"$23,708 "
2017,8117,7.3,"$75,420 "
2016,8117,7.9,"$70,265 "
2015,8117,8.7,"$69,633 "
2014,8117,9.7,"$68,352 "
2013,8117,9.3,"$63,236 "
2012,8117,10.2,"$61,286 "
2011,8117,10.5,"$60,397 "
2010,8117,10.1,"$60,087 "
2009,8117,8.7,"$65,952 "
2008,8117,6.8,"$64,813 "
2007,8117,7,"$68,685 "
2006,8117,7.1,"$60,332 "
2005,8117,6.3,"$56,275 "
2004,8117,5.9,"$52,220 "
2003,8117,6.5,"$51,610 "
2002,8117,6.7,"$53,362 "
2001,8117,6.5,"$56,707 "
2000,8117,6.1,"$57,200 "
1999,8117,5.6,"$52,259 "
1998,8117,5.4,"$47,456 "
1997,8117,4.5,"$45,857 "
1996,8117,NA,NA
1995,8117,3.8,"$42,700 "
1993,8117,3.7,"$37,667 "
1989,8117,5.3,"$31,917 "
2017,8119,8.8,"$68,078 "
2016,8119,9.5,"$63,966 "
2015,8119,8.8,"$66,191 "
2014,8119,9.5,"$62,380 "
2013,8119,8.4,"$62,725 "
2012,8119,9.7,"$59,558 "
2011,8119,9.3,"$60,313 "
2010,8119,8.7,"$59,966 "
2009,8119,8.2,"$53,928 "
2008,8119,7.3,"$58,457 "
2007,8119,7.4,"$59,075 "
2006,8119,8.1,"$57,686 "
2005,8119,6.8,"$56,557 "
2004,8119,7.2,"$53,787 "
2003,8119,7.6,"$51,532 "
2002,8119,7.4,"$52,383 "
2001,8119,6.6,"$52,510 "
2000,8119,6.2,"$52,304 "
1999,8119,6.6,"$49,848 "
1998,8119,8,"$48,476 "
1997,8119,8.4,"$45,552 "
1996,8119,NA,NA
1995,8119,8.2,"$43,902 "
1993,8119,9.3,"$37,553 "
1989,8119,9.8,"$31,329 "
2017,8121,12.9,"$48,325 "
2016,8121,14.3,"$46,304 "
2015,8121,11.4,"$47,592 "
2014,8121,11.4,"$45,784 "
2013,8121,14,"$45,572 "
2012,8121,14.6,"$43,446 "
2011,8121,12.6,"$43,433 "
2010,8121,13.9,"$40,914 "
2009,8121,12.1,"$40,778 "
2008,8121,12.4,"$38,982 "
2007,8121,13.4,"$38,149 "
2006,8121,13,"$34,115 "
2005,8121,12.1,"$39,779 "
2004,8121,10.3,"$32,344 "
2003,8121,10.8,"$31,036 "
2002,8121,12.1,"$30,079 "
2001,8121,11.5,"$32,923 "
2000,8121,11.9,"$33,193 "
1999,8121,10.9,"$32,279 "
1998,8121,13.2,"$31,397 "
1997,8121,12.2,"$29,870 "
1996,8121,NA,NA
1995,8121,13.3,"$26,978 "
1993,8121,13,"$27,186 "
1989,8121,14.1,"$24,478 "
2017,8123,9.4,"$68,679 "
2016,8123,11.5,"$63,609 "
2015,8123,11.3,"$69,434 "
2014,8123,10.5,"$61,501 "
2013,8123,13.2,"$58,404 "
2012,8123,14.3,"$55,332 "
2011,8123,14.4,"$51,773 "
2010,8123,14.3,"$52,334 "
2009,8123,14.8,"$54,578 "
2008,8123,12,"$55,845 "
2007,8123,11.6,"$52,228 "
2006,8123,14.3,"$52,037 "
2005,8123,11.6,"$48,338 "
2004,8123,9.9,"$46,241 "
2003,8123,10.3,"$44,756 "
2002,8123,10.3,"$43,476 "
2001,8123,9.5,"$42,849 "
2000,8123,10,"$42,555 "
1999,8123,10.2,"$39,983 "
1998,8123,11.4,"$37,659 "
1997,8123,12.5,"$35,351 "
1996,8123,NA,NA
1995,8123,13.3,"$32,376 "
1993,8123,15.3,"$30,146 "
1989,8123,16.8,"$25,909 "
2017,8125,13,"$48,893 "
2016,8125,12.3,"$48,963 "
2015,8125,14.1,"$48,934 "
2014,8125,14,"$46,838 "
2013,8125,13,"$45,487 "
2012,8125,13.5,"$45,059 "
2011,8125,13.6,"$46,246 "
2010,8125,12.5,"$43,361 "
2009,8125,13.3,"$42,813 "
2008,8125,12.7,"$43,560 "
2007,8125,12.1,"$41,570 "
2006,8125,13.5,"$38,067 "
2005,8125,13.5,"$37,089 "
2004,8125,12,"$35,687 "
2003,8125,12,"$34,494 "
2002,8125,12.9,"$33,722 "
2001,8125,12.4,"$34,542 "
2000,8125,13.2,"$34,613 "
1999,8125,12.1,"$32,980 "
1998,8125,13.2,"$32,285 "
1997,8125,12,"$31,639 "
1996,8125,NA,NA
1995,8125,12.2,"$27,538 "
1993,8125,12,"$29,028 "
1989,8125,14,"$24,240 "
2017,9001,8.8,"$91,170 "
2016,9001,8.6,"$89,954 "
2015,9001,9,"$86,297 "
2014,9001,9,"$85,336 "
2013,9001,9.6,"$81,816 "
2012,9001,8.9,"$79,536 "
2011,9001,9.4,"$77,065 "
2010,9001,9.3,"$74,634 "
2009,9001,8.2,"$78,892 "
2008,9001,8.2,"$84,250 "
2007,9001,6.7,"$80,020 "
2006,9001,6.8,"$76,378 "
2005,9001,7.3,"$71,493 "
2004,9001,8.5,"$60,790 "
2003,9001,7.3,"$61,035 "
2002,9001,7,"$62,756 "
2001,9001,6.2,"$63,881 "
2000,9001,6.2,"$63,762 "
1999,9001,6.5,"$60,053 "
1998,9001,7.7,"$57,389 "
1997,9001,7.9,"$56,872 "
1996,9001,NA,NA
1995,9001,6.9,"$54,902 "
1993,9001,7.7,"$50,669 "
1989,9001,6.6,"$45,517 "
2017,9003,11,"$70,433 "
2016,9003,10.9,"$69,341 "
2015,9003,11.1,"$69,260 "
2014,9003,12.2,"$65,809 "
2013,9003,12.1,"$63,491 "
2012,9003,12.2,"$63,374 "
2011,9003,12.4,"$60,947 "
2010,9003,11.3,"$60,028 "
2009,9003,10.1,"$61,962 "
2008,9003,10.4,"$64,045 "
2007,9003,9.3,"$61,056 "
2006,9003,9.8,"$58,608 "
2005,9003,9.3,"$57,722 "
2004,9003,10.7,"$54,093 "
2003,9003,9.2,"$51,630 "
2002,9003,8.8,"$50,274 "
2001,9003,8,"$49,208 "
2000,9003,8.4,"$49,461 "
1999,9003,8.7,"$47,320 "
1998,9003,10.1,"$47,545 "
1997,9003,10.4,"$46,011 "
1996,9003,NA,NA
1995,9003,10.2,"$43,279 "
1993,9003,11.2,"$41,566 "
1989,9003,7.6,"$37,855 "
2017,9005,6.9,"$77,968 "
2016,9005,7.2,"$76,323 "
2015,9005,7.4,"$70,847 "
2014,9005,7.7,"$73,413 "
2013,9005,7.2,"$70,519 "
2012,9005,7,"$67,746 "
2011,9005,7.8,"$68,658 "
2010,9005,6.7,"$66,076 "
2009,9005,6.5,"$67,688 "
2008,9005,5.6,"$67,520 "
2007,9005,5.4,"$68,142 "
2006,9005,6,"$66,113 "
2005,9005,4.6,"$63,869 "
2004,9005,6.1,"$59,546 "
2003,9005,5.5,"$58,029 "
2002,9005,5.3,"$57,738 "
2001,9005,5,"$56,807 "
2000,9005,4.8,"$56,215 "
1999,9005,4.8,"$53,945 "
1998,9005,5.3,"$53,963 "
1997,9005,5.3,"$50,589 "
1996,9005,NA,NA
1995,9005,5,"$46,007 "
1993,9005,5.5,"$44,470 "
1989,9005,4.2,"$39,231 "
2017,9007,6.8,"$81,533 "
2016,9007,7.9,"$80,190 "
2015,9007,6.7,"$82,878 "
2014,9007,7.9,"$76,365 "
2013,9007,7.3,"$75,335 "
2012,9007,6.4,"$74,588 "
2011,9007,6.7,"$75,714 "
2010,9007,6.8,"$70,805 "
2009,9007,5.7,"$74,524 "
2008,9007,5.5,"$74,645 "
2007,9007,5.2,"$72,155 "
2006,9007,6.5,"$68,764 "
2005,9007,5.3,"$69,856 "
2004,9007,5.6,"$63,949 "
2003,9007,5.1,"$61,869 "
2002,9007,4.9,"$61,699 "
2001,9007,4.7,"$60,660 "
2000,9007,4.7,"$60,706 "
1999,9007,4.6,"$57,168 "
1998,9007,5,"$57,351 "
1997,9007,5.2,"$53,624 "
1996,9007,NA,NA
1995,9007,4.6,"$48,888 "
1993,9007,5.2,"$46,913 "
1989,9007,4.7,"$41,596 "
2017,9009,11,"$66,764 "
2016,9009,11.4,"$66,012 "
2015,9009,13.6,"$61,758 "
2014,9009,13,"$60,387 "
2013,9009,12.8,"$58,672 "
2012,9009,13.3,"$59,217 "
2011,9009,12.9,"$58,985 "
2010,9009,11.6,"$57,070 "
2009,9009,11.9,"$60,388 "
2008,9009,11,"$61,459 "
2007,9009,9.5,"$59,640 "
2006,9009,9.9,"$56,755 "
2005,9009,10.9,"$53,577 "
2004,9009,10.7,"$52,591 "
2003,9009,9.4,"$50,737 "
2002,9009,9.6,"$49,098 "
2001,9009,8.6,"$48,783 "
2000,9009,8.8,"$49,428 "
1999,9009,8.9,"$46,576 "
1998,9009,10.4,"$46,030 "
1997,9009,10.6,"$44,412 "
1996,9009,NA,NA
1995,9009,10,"$42,123 "
1993,9009,11,"$40,580 "
1989,9009,8.1,"$36,601 "
2017,9011,8.6,"$71,721 "
2016,9011,9.3,"$70,258 "
2015,9011,11.1,"$65,602 "
2014,9011,11.1,"$65,813 "
2013,9011,9.4,"$62,638 "
2012,9011,9.3,"$65,573 "
2011,9011,9,"$63,561 "
2010,9011,8.9,"$61,792 "
2009,9011,7.9,"$63,450 "
2008,9011,6.9,"$67,484 "
2007,9011,6.9,"$60,907 "
2006,9011,6.7,"$59,398 "
2005,9011,6.3,"$58,674 "
2004,9011,7.5,"$54,218 "
2003,9011,6.6,"$51,513 "
2002,9011,6.6,"$51,453 "
2001,9011,6.3,"$49,539 "
2000,9011,6.4,"$49,365 "
1999,9011,6.7,"$47,374 "
1998,9011,8,"$46,311 "
1997,9011,8.1,"$44,566 "
1996,9011,NA,NA
1995,9011,7.3,"$43,724 "
1993,9011,8.3,"$41,094 "
1989,9011,7,"$36,422 "
2017,9013,7.4,"$75,571 "
2016,9013,7.2,"$81,369 "
2015,9013,7.1,"$81,616 "
2014,9013,7.5,"$78,653 "
2013,9013,6.4,"$73,660 "
2012,9013,7.3,"$75,048 "
2011,9013,8,"$77,124 "
2010,9013,6.4,"$74,868 "
2009,9013,6.7,"$78,471 "
2008,9013,6.8,"$75,251 "
2007,9013,6.3,"$74,700 "
2006,9013,5.9,"$69,458 "
2005,9013,5.7,"$72,167 "
2004,9013,5.8,"$62,711 "
2003,9013,5.3,"$61,418 "
2002,9013,5.1,"$61,189 "
2001,9013,4.7,"$60,166 "
2000,9013,4.6,"$60,190 "
1999,9013,4.6,"$57,397 "
1998,9013,5,"$58,540 "
1997,9013,5.4,"$55,223 "
1996,9013,NA,NA
1995,9013,4.6,"$50,927 "
1993,9013,5.1,"$48,737 "
1989,9013,4.2,"$43,520 "
2017,9015,11.5,"$62,606 "
2016,9015,11.9,"$60,869 "
2015,9015,10.9,"$61,303 "
2014,9015,10.3,"$57,547 "
2013,9015,13,"$55,948 "
2012,9015,12.1,"$54,221 "
2011,9015,10.6,"$54,911 "
2010,9015,11.8,"$56,564 "
2009,9015,9.8,"$56,342 "
2008,9015,11.7,"$54,027 "
2007,9015,8.5,"$57,339 "
2006,9015,9.3,"$53,802 "
2005,9015,9,"$48,630 "
2004,9015,9.4,"$47,306 "
2003,9015,8.1,"$45,996 "
2002,9015,8.2,"$45,433 "
2001,9015,7.9,"$44,725 "
2000,9015,8.2,"$45,270 "
1999,9015,8.3,"$42,586 "
1998,9015,9.8,"$42,248 "
1997,9015,9.8,"$41,108 "
1996,9015,NA,NA
1995,9015,8.5,"$38,666 "
1993,9015,9.6,"$36,770 "
1989,9015,8.2,"$32,042 "
2017,10001,13.2,"$57,112 "
2016,10001,13.6,"$53,994 "
2015,10001,14.2,"$55,678 "
2014,10001,14.1,"$54,271 "
2013,10001,13.5,"$53,811 "
2012,10001,13.4,"$51,695 "
2011,10001,14.9,"$51,045 "
2010,10001,12.1,"$51,490 "
2009,10001,13.6,"$50,884 "
2008,10001,10.7,"$55,179 "
2007,10001,12.1,"$47,407 "
2006,10001,12.7,"$47,635 "
2005,10001,11,"$47,335 "
2004,10001,11.4,"$44,889 "
2003,10001,10.7,"$43,446 "
2002,10001,11.3,"$41,817 "
2001,10001,10.3,"$40,772 "
2000,10001,10.8,"$41,057 "
1999,10001,12.1,"$38,437 "
1998,10001,11.9,"$37,538 "
1997,10001,12.1,"$36,555 "
1996,10001,NA,NA
1995,10001,11.5,"$34,917 "
1993,10001,13,"$32,951 "
1989,10001,11.3,"$27,452 "
2017,10003,13.4,"$66,839 "
2016,10003,11.3,"$67,246 "
2015,10003,12.1,"$66,179 "
2014,10003,12.3,"$64,632 "
2013,10003,11.9,"$63,033 "
2012,10003,11.4,"$62,086 "
2011,10003,12,"$63,087 "
2010,10003,11.2,"$59,877 "
2009,10003,10.1,"$62,051 "
2008,10003,9.6,"$63,301 "
2007,10003,10.1,"$59,871 "
2006,10003,9.9,"$58,184 "
2005,10003,9.9,"$59,054 "
2004,10003,8.9,"$54,304 "
2003,10003,8.3,"$53,562 "
2002,10003,8.1,"$53,377 "
2001,10003,7.2,"$53,994 "
2000,10003,7.4,"$55,205 "
1999,10003,8.3,"$50,850 "
1998,10003,8.5,"$50,090 "
1997,10003,8.7,"$47,819 "
1996,10003,NA,NA
1995,10003,8.7,"$43,067 "
1993,10003,9.9,"$41,161 "
1989,10003,8.2,"$34,383 "
2017,10005,11.9,"$61,124 "
2016,10005,11.6,"$56,618 "
2015,10005,12.3,"$54,309 "
2014,10005,13.9,"$53,316 "
2013,10005,14.8,"$50,207 "
2012,10005,15.7,"$48,684 "
2011,10005,12.4,"$51,060 "
2010,10005,13.9,"$48,582 "
2009,10005,12.2,"$50,024 "
2008,10005,12,"$47,727 "
2007,10005,9.7,"$50,132 "
2006,10005,11.3,"$45,798 "
2005,10005,11.2,"$44,632 "
2004,10005,10.4,"$41,661 "
2003,10005,10,"$39,395 "
2002,10005,11.3,"$37,896 "
2001,10005,10.5,"$37,614 "
2000,10005,10.9,"$38,934 "
1999,10005,10.8,"$36,604 "
1998,10005,12.1,"$34,676 "
1997,10005,12.7,"$33,281 "
1996,10005,NA,NA
1995,10005,11.9,"$31,367 "
1993,10005,13.9,"$28,722 "
1989,10005,11.8,"$24,774 "
2017,11001,16.6,"$80,153 "
2016,11001,18.5,"$74,093 "
2015,11001,17.7,"$73,115 "
2014,11001,18.4,"$69,992 "
2013,11001,18.8,"$66,326 "
2012,11001,18.8,"$65,231 "
2011,11001,19.1,"$62,087 "
2010,11001,18.8,"$60,729 "
2009,11001,17.6,"$58,906 "
2008,11001,16.9,"$58,553 "
2007,11001,17.1,"$54,812 "
2006,11001,18.1,"$51,746 "
2005,11001,18.3,"$48,078 "
2004,11001,18.3,"$46,211 "
2003,11001,17.5,"$43,215 "
2002,11001,17.2,"$40,617 "
2001,11001,17.5,"$41,112 "
2000,11001,16.3,"$40,606 "
1999,11001,17.3,"$38,654 "
1998,11001,18.2,"$36,442 "
1997,11001,19.3,"$34,980 "
1996,11001,21.9,"$34,436 "
1995,11001,20.8,"$33,682 "
1993,11001,20.4,"$31,422 "
1989,11001,15,"$29,322 "
2017,12001,21.2,"$45,230 "
2016,12001,22.3,"$45,294 "
2015,12001,21.1,"$47,023 "
2014,12001,21.6,"$44,325 "
2013,12001,25.7,"$39,614 "
2012,12001,26.6,"$41,297 "
2011,12001,23.5,"$39,825 "
2010,12001,25.3,"$40,656 "
2009,12001,23,"$38,597 "
2008,12001,20,"$42,980 "
2007,12001,22.8,"$38,075 "
2006,12001,21.8,"$37,046 "
2005,12001,21.8,"$35,474 "
2004,12001,14.5,"$34,696 "
2003,12001,16.2,"$33,176 "
2002,12001,15.1,"$32,153 "
2001,12001,15.1,"$32,061 "
2000,12001,14.7,"$32,724 "
1999,12001,15.4,"$31,889 "
1998,12001,17.1,"$33,585 "
1997,12001,18.3,"$31,382 "
1996,12001,NA,NA
1995,12001,19.2,"$27,860 "
1993,12001,20.2,"$26,597 "
1989,12001,18,"$23,673 "
2017,12003,15.3,"$51,856 "
2016,12003,17.2,"$51,904 "
2015,12003,16.8,"$50,883 "
2014,12003,19.6,"$47,121 "
2013,12003,18.8,"$46,505 "
2012,12003,18.8,"$45,721 "
2011,12003,18.6,"$42,564 "
2010,12003,17.5,"$45,802 "
2009,12003,17.2,"$46,513 "
2008,12003,15.3,"$48,443 "
2007,12003,14.4,"$45,783 "
2006,12003,14.7,"$44,860 "
2005,12003,14.5,"$43,011 "
2004,12003,12.7,"$41,589 "
2003,12003,13.7,"$39,281 "
2002,12003,13.3,"$38,438 "
2001,12003,13.7,"$38,049 "
2000,12003,13.6,"$39,070 "
1999,12003,14,"$36,321 "
1998,12003,15.9,"$33,966 "
1997,12003,16.9,"$32,377 "
1996,12003,NA,NA
1995,12003,18.1,"$31,198 "
1993,12003,19.4,"$27,614 "
1989,12003,14.8,"$25,409 "
2017,12005,14.9,"$51,633 "
2016,12005,14.9,"$48,843 "
2015,12005,16.5,"$47,745 "
2014,12005,15.6,"$44,800 "
2013,12005,18,"$45,249 "
2012,12005,16.5,"$45,259 "
2011,12005,14.4,"$44,204 "
2010,12005,15.1,"$44,364 "
2009,12005,14.4,"$43,930 "
2008,12005,11.9,"$45,655 "
2007,12005,12,"$47,495 "
2006,12005,13.8,"$44,058 "
2005,12005,13.7,"$40,540 "
2004,12005,11.9,"$38,972 "
2003,12005,12.8,"$37,081 "
2002,12005,12.4,"$35,718 "
2001,12005,12.9,"$35,111 "
2000,12005,12.7,"$35,547 "
1999,12005,13.6,"$34,125 "
1998,12005,14.6,"$33,070 "
1997,12005,15.1,"$32,047 "
1996,12005,NA,NA
1995,12005,15.3,"$29,600 "
1993,12005,16.3,"$26,846 "
1989,12005,14.4,"$23,194 "
2017,12007,19.1,"$44,997 "
2016,12007,18.6,"$43,058 "
2015,12007,21.3,"$40,879 "
2014,12007,22.6,"$39,980 "
2013,12007,21.8,"$40,668 "
2012,12007,23.1,"$38,680 "
2011,12007,23.1,"$39,271 "
2010,12007,19.4,"$39,454 "
2009,12007,22.5,"$38,360 "
2008,12007,19.3,"$41,154 "
2007,12007,16.9,"$40,542 "
2006,12007,16.3,"$38,060 "
2005,12007,15.9,"$36,699 "
2004,12007,14.8,"$34,104 "
2003,12007,16.2,"$32,598 "
2002,12007,17.8,"$31,626 "
2001,12007,18.2,"$31,917 "
2000,12007,16.5,"$32,889 "
1999,12007,16.3,"$31,380 "
1998,12007,18.7,"$31,413 "
1997,12007,22.2,"$30,033 "
1996,12007,NA,NA
1995,12007,22.2,"$28,225 "
1993,12007,21.6,"$25,277 "
1989,12007,21.9,"$21,097 "
2017,12009,12.4,"$52,596 "
2016,12009,14.7,"$51,214 "
2015,12009,13.4,"$50,352 "
2014,12009,14.5,"$47,973 "
2013,12009,15,"$46,677 "
2012,12009,14.8,"$46,332 "
2011,12009,14.2,"$46,494 "
2010,12009,13.5,"$46,331 "
2009,12009,11.6,"$45,683 "
2008,12009,10.7,"$49,473 "
2007,12009,8.6,"$50,261 "
2006,12009,10,"$46,415 "
2005,12009,10.1,"$43,403 "
2004,12009,9.2,"$44,248 "
2003,12009,10.1,"$42,192 "
2002,12009,9.8,"$40,342 "
2001,12009,9.7,"$39,862 "
2000,12009,9.2,"$40,673 "
1999,12009,9.7,"$38,310 "
1998,12009,10.5,"$38,249 "
1997,12009,11.3,"$36,353 "
1996,12009,NA,NA
1995,12009,11.4,"$34,729 "
1993,12009,11.6,"$33,284 "
1989,12009,8.5,"$29,229 "
2017,12011,13.1,"$56,702 "
2016,12011,13.5,"$54,055 "
2015,12011,14,"$53,624 "
2014,12011,14.5,"$51,485 "
2013,12011,15.2,"$50,343 "
2012,12011,15.2,"$49,564 "
2011,12011,14.9,"$48,478 "
2010,12011,14.7,"$47,917 "
2009,12011,13,"$48,772 "
2008,12011,12,"$51,594 "
2007,12011,11.4,"$52,504 "
2006,12011,11.2,"$50,399 "
2005,12011,11.2,"$46,618 "
2004,12011,11.6,"$43,136 "
2003,12011,12.5,"$42,673 "
2002,12011,11.7,"$42,497 "
2001,12011,11,"$42,311 "
2000,12011,9.8,"$42,690 "
1999,12011,10.6,"$40,328 "
1998,12011,11,"$40,589 "
1997,12011,11.7,"$37,832 "
1996,12011,NA,NA
1995,12011,12.2,"$33,895 "
1993,12011,12.3,"$31,264 "
1989,12011,9.2,"$27,615 "
2017,12013,21.1,"$37,612 "
2016,12013,21.9,"$36,708 "
2015,12013,22.2,"$36,062 "
2014,12013,22.3,"$35,256 "
2013,12013,23.8,"$33,977 "
2012,12013,24,"$33,418 "
2011,12013,25.9,"$32,395 "
2010,12013,22.1,"$34,054 "
2009,12013,20.8,"$32,920 "
2008,12013,20.9,"$33,613 "
2007,12013,23.3,"$28,186 "
2006,12013,20.4,"$31,397 "
2005,12013,21.2,"$28,450 "
2004,12013,17.2,"$27,521 "
2003,12013,18.2,"$26,615 "
2002,12013,20.2,"$26,172 "
2001,12013,21.7,"$26,239 "
2000,12013,21.1,"$27,027 "
1999,12013,19.4,"$26,311 "
1998,12013,21.3,"$26,406 "
1997,12013,23,"$25,362 "
1996,12013,NA,NA
1995,12013,22.9,"$24,013 "
1993,12013,22.3,"$21,412 "
1989,12013,24.9,"$17,648 "
2017,12015,10.8,"$51,583 "
2016,12015,12.6,"$44,935 "
2015,12015,12.4,"$45,495 "
2014,12015,11.9,"$43,242 "
2013,12015,14.4,"$43,611 "
2012,12015,13.8,"$44,454 "
2011,12015,13.2,"$41,346 "
2010,12015,13.9,"$41,991 "
2009,12015,12.2,"$40,874 "
2008,12015,10.3,"$46,378 "
2007,12015,9.2,"$46,328 "
2006,12015,8.5,"$43,746 "
2005,12015,9.6,"$39,159 "
2004,12015,8.1,"$37,820 "
2003,12015,9.3,"$36,514 "
2002,12015,10.1,"$35,408 "
2001,12015,10.2,"$34,922 "
2000,12015,9,"$36,087 "
1999,12015,8.6,"$34,245 "
1998,12015,9.5,"$33,253 "
1997,12015,9.5,"$32,211 "
1996,12015,NA,NA
1995,12015,9.7,"$30,650 "
1993,12015,10,"$26,217 "
1989,12015,6.7,"$22,546 "
2017,12017,14.4,"$43,147 "
2016,12017,16.6,"$40,009 "
2015,12017,17.5,"$39,982 "
2014,12017,20.1,"$36,383 "
2013,12017,17.3,"$39,285 "
2012,12017,18.7,"$38,937 "
2011,12017,17.3,"$35,041 "
2010,12017,17.2,"$36,174 "
2009,12017,15.8,"$37,861 "
2008,12017,15.8,"$38,476 "
2007,12017,12.1,"$36,979 "
2006,12017,11.8,"$35,563 "
2005,12017,13.3,"$34,171 "
2004,12017,11.2,"$33,576 "
2003,12017,12.4,"$31,932 "
2002,12017,13.3,"$30,657 "
2001,12017,13.4,"$30,253 "
2000,12017,12.3,"$31,358 "
1999,12017,12.3,"$29,746 "
1998,12017,13.6,"$28,222 "
1997,12017,14.5,"$26,883 "
1996,12017,NA,NA
1995,12017,15.3,"$25,402 "
1993,12017,15.5,"$21,470 "
1989,12017,12.3,"$18,192 "
2017,12019,9.9,"$65,375 "
2016,12019,9.6,"$57,476 "
2015,12019,11.6,"$59,244 "
2014,12019,10.9,"$58,539 "
2013,12019,9.9,"$57,991 "
2012,12019,10.9,"$56,359 "
2011,12019,10.9,"$54,867 "
2010,12019,11.3,"$57,913 "
2009,12019,9.2,"$57,858 "
2008,12019,8.3,"$61,057 "
2007,12019,8,"$58,696 "
2006,12019,6.8,"$59,994 "
2005,12019,8.1,"$54,277 "
2004,12019,7.1,"$53,201 "
2003,12019,7.4,"$51,376 "
2002,12019,6.7,"$50,173 "
2001,12019,7.3,"$49,070 "
2000,12019,6.9,"$48,988 "
1999,12019,7.3,"$46,181 "
1998,12019,7.7,"$45,023 "
1997,12019,7.7,"$42,729 "
1996,12019,NA,NA
1995,12019,7.8,"$41,161 "
1993,12019,8.8,"$38,130 "
1989,12019,5.7,"$33,668 "
2017,12021,11.7,"$66,709 "
2016,12021,11.4,"$62,397 "
2015,12021,13.6,"$62,385 "
2014,12021,14.3,"$58,403 "
2013,12021,13.4,"$55,584 "
2012,12021,14.2,"$54,475 "
2011,12021,16.2,"$51,039 "
2010,12021,15.7,"$53,341 "
2009,12021,12.6,"$53,934 "
2008,12021,10.2,"$61,379 "
2007,12021,9.9,"$58,519 "
2006,12021,9.8,"$56,135 "
2005,12021,9.6,"$52,301 "
2004,12021,8.8,"$48,812 "
2003,12021,9.6,"$48,242 "
2002,12021,9.6,"$47,591 "
2001,12021,9.7,"$47,204 "
2000,12021,8.9,"$47,792 "
1999,12021,9.3,"$45,037 "
1998,12021,10.3,"$42,732 "
1997,12021,11.2,"$41,000 "
1996,12021,NA,NA
1995,12021,12,"$38,303 "
1993,12021,13.1,"$33,722 "
1989,12021,9.8,"$30,883 "
2017,12023,16.5,"$42,097 "
2016,12023,17.8,"$41,667 "
2015,12023,19.7,"$43,303 "
2014,12023,21.7,"$38,484 "
2013,12023,18.8,"$41,722 "
2012,12023,23.4,"$37,091 "
2011,12023,21.7,"$36,452 "
2010,12023,19.5,"$34,870 "
2009,12023,19.1,"$36,923 "
2008,12023,18,"$38,816 "
2007,12023,13.9,"$40,422 "
2006,12023,18.2,"$37,724 "
2005,12023,19,"$33,383 "
2004,12023,14.1,"$32,455 "
2003,12023,15.7,"$30,815 "
2002,12023,17.2,"$29,711 "
2001,12023,17.2,"$30,151 "
2000,12023,16.2,"$31,293 "
1999,12023,16.2,"$29,820 "
1998,12023,18.5,"$29,565 "
1997,12023,19.7,"$28,521 "
1996,12023,NA,NA
1995,12023,20.4,"$28,359 "
1993,12023,20.4,"$25,817 "
1989,12023,17.4,"$21,685 "
1996,12025,NA,NA
1995,12025,23.6,"$28,915 "
1993,12025,25.4,"$26,677 "
1989,12025,21.4,"$23,349 "
2017,12027,26.1,"$37,342 "
2016,12027,28.6,"$34,146 "
2015,12027,30.5,"$34,380 "
2014,12027,29.7,"$36,945 "
2013,12027,33.9,"$33,198 "
2012,12027,30.2,"$33,602 "
2011,12027,31,"$32,753 "
2010,12027,32.9,"$33,966 "
2009,12027,25.6,"$33,791 "
2008,12027,22.4,"$37,478 "
2007,12027,21.4,"$35,988 "
2006,12027,30.3,"$32,754 "
2005,12027,21.4,"$34,879 "
2004,12027,16.7,"$28,638 "
2003,12027,18.4,"$27,784 "
2002,12027,21.3,"$27,850 "
2001,12027,21.6,"$28,571 "
2000,12027,19.4,"$29,950 "
1999,12027,18.6,"$28,195 "
1998,12027,22,"$26,960 "
1997,12027,23.4,"$25,525 "
1996,12027,NA,NA
1995,12027,24.8,"$23,364 "
1993,12027,25,"$20,515 "
1989,12027,20.1,"$18,157 "
2017,12029,24.4,"$38,355 "
2016,12029,25.4,"$34,146 "
2015,12029,29.3,"$35,749 "
2014,12029,27.1,"$32,121 "
2013,12029,27.1,"$31,649 "
2012,12029,27.3,"$31,913 "
2011,12029,25.2,"$30,801 "
2010,12029,26.6,"$30,967 "
2009,12029,23.7,"$30,268 "
2008,12029,22.8,"$31,443 "
2007,12029,21.6,"$31,018 "
2006,12029,22.6,"$28,847 "
2005,12029,24,"$28,251 "
2004,12029,18,"$26,999 "
2003,12029,18.8,"$25,874 "
2002,12029,20.8,"$26,367 "
2001,12029,21.9,"$25,336 "
2000,12029,21.2,"$26,372 "
1999,12029,20,"$25,183 "
1998,12029,23,"$23,852 "
1997,12029,23.9,"$21,982 "
1996,12029,NA,NA
1995,12029,25.7,"$20,367 "
1993,12029,25.8,"$17,098 "
1989,12029,25.3,"$14,637 "
2017,12031,15.1,"$52,105 "
2016,12031,14.5,"$51,948 "
2015,12031,16,"$49,565 "
2014,12031,18.2,"$46,013 "
2013,12031,17.1,"$47,876 "
2012,12031,18,"$43,835 "
2011,12031,17.7,"$45,995 "
2010,12031,16.6,"$46,112 "
2009,12031,15.3,"$47,002 "
