FIPS,Year,CancerDeaths,Population
1053,1993,62,34414
1053,1994,55,34692
1053,1995,61,34808
1053,1996,55,35125
1053,1997,62,35494
1053,1998,48,35746
1055,1988,165,94652
1055,1989,193,94130
1055,1990,152,93463
1055,1991,161,93650
1055,1992,149,94149
1055,1993,175,94296
1055,1994,158,95220
1055,1995,169,95241
1055,1996,177,95736
1055,1997,173,96645
1055,1998,176,96859
1057,1988,18,16845
1057,1989,25,16619
1057,1990,31,16622
1057,1991,26,16789
1057,1992,21,16790
1057,1993,38,16777
1057,1994,34,16831
1057,1995,25,16859
1057,1996,28,16929
1057,1997,32,17002
1057,1998,28,17043
1059,1988,47,26463
1059,1989,52,26118
1059,1990,42,25955
1059,1991,44,26261
1059,1992,42,26729
1059,1993,54,27213
1059,1994,45,27589
1059,1995,40,27966
1059,1996,63,28305
1059,1997,53,28676
1059,1998,56,28884
1061,1988,35,21919
1061,1989,38,21700
1061,1990,27,21897
1061,1991,45,22381
1061,1992,40,22416
1061,1993,34,22665
1061,1994,45,22938
1061,1995,41,23112
1061,1996,39,23237
1061,1997,34,23345
1061,1998,36,23478
1063,1988,20,9518
1063,1989,16,9411
1063,1990,15,9323
1063,1991,12,9466
1063,1992,10,9482
1063,1993,10,9418
1063,1994,20,9399
1063,1995,11,9330
1063,1997,17,9411
1063,1998,10,9364
1065,1988,15,14154
1065,1989,14,14210
1065,1990,24,14283
1065,1991,23,14593
1065,1992,19,14784
1065,1993,27,14841
1065,1994,21,14972
1065,1995,20,15116
1065,1996,31,15328
1065,1997,11,15382
1065,1998,27,15709
1067,1988,30,14138
1067,1989,18,14230
1067,1990,32,14273
1067,1991,23,14556
1067,1992,29,14533
1067,1993,30,14645
1067,1994,28,14738
1067,1995,18,14686
1067,1996,29,14639
1067,1997,27,14739
1067,1998,16,14880
1069,1988,111,76607
1069,1989,126,76692
1069,1990,91,77257
1069,1991,113,78300
1069,1992,124,79276
1069,1993,136,80120
1069,1994,132,79847
1069,1995,113,80363
1069,1996,111,81349
1069,1997,106,81658
1069,1998,112,82188
1071,1988,65,46094
1071,1989,56,45457
1071,1990,68,45479
1071,1991,78,46192
1071,1992,72,46728
1071,1993,73,47344
1071,1994,82,47597
1071,1995,91,48262
1071,1996,68,49162
1071,1997,78,49300
1071,1998,79,50110
1073,1988,1002,618872
1073,1989,984,615922
1073,1990,1000,613185
1073,1991,1022,617331
1073,1992,950,620134
1073,1993,963,622380
1073,1994,945,623653
1073,1995,894,623923
1073,1996,927,623186
1073,1997,943,621383
1073,1998,881,621546
1075,1988,28,14901
1075,1989,35,14671
1075,1990,14,14517
1075,1991,22,14499
1075,1992,24,14435
1075,1993,30,14613
1075,1994,26,14618
1075,1995,25,14595
1075,1996,27,14600
1075,1997,38,14669
1075,1998,20,14708
1077,1988,109,75234
1077,1989,112,74855
1077,1990,114,74953
1077,1991,125,76315
1077,1992,116,77344
1077,1993,124,78534
1077,1994,92,79126
1077,1995,111,79894
1077,1996,120,80570
1077,1997,136,80695
1077,1998,117,81302
1079,1988,35,29638
1079,1989,48,29919
1079,1990,37,29984
1079,1991,34,30574
1079,1992,40,30729
1079,1993,45,31128
1079,1994,36,31107
1079,1995,45,31537
1079,1996,42,31820
1079,1997,29,32124
1079,1998,56,32353
1081,1988,97,81914
1081,1989,83,83053
1081,1990,92,84204
1081,1991,95,86493
1081,1992,80,88472
1081,1993,89,91064
1081,1994,100,92842
1081,1995,95,95970
1081,1996,93,98688
1081,1997,107,102913
1081,1998,103,106125
1083,1988,77,50055
1083,1989,75,51302
1083,1990,73,51648
1083,1991,57,53079
1083,1992,67,54477
1083,1993,65,55760
1083,1994,82,56596
1083,1995,61,57231
1083,1996,25,58264
1083,1997,24,59488
1083,1998,34,60806
1085,1988,17,11849
1085,1989,13,12059
1085,1990,19,11924
1085,1991,18,11961
1085,1992,15,11950
