FIPS,Year,DiabDeaths,Population
1061,1985,1,22496
1061,1986,2,22290
1061,1987,3,22144
1061,1988,3,21919
1063,1979,4,10204
1063,1980,2,10359
1063,1982,1,10292
1063,1983,1,10335
1063,1984,3,10205
1063,1985,2,10005
1063,1987,2,9590
1065,1979,2,14951
1065,1980,1,14619
1065,1981,2,14546
1065,1982,1,14383
1065,1985,3,13936
1065,1987,1,13969
1065,1988,2,14154
1067,1979,2,14302
1067,1980,2,14515
1067,1981,3,14604
1067,1982,1,14338
1067,1983,3,14223
1067,1984,4,14260
1067,1985,2,14304
1067,1986,2,14085
1067,1987,1,14137
1067,1988,2,14138
1069,1979,5,72094
1069,1980,4,72028
1069,1981,1,73310
1069,1982,11,73995
1069,1983,13,73906
1069,1984,9,74016
1069,1985,8,74562
1069,1986,8,75076
1069,1987,7,76261
1069,1988,1,76607
1069,1993,13,80120
1069,1995,12,80363
1069,1998,12,82188
1071,1979,4,49845
1071,1980,2,49628
1071,1981,2,49383
1071,1982,9,49254
1071,1983,11,48460
1071,1984,8,48039
1071,1985,8,47288
1071,1986,11,46448
1071,1987,12,46269
1071,1988,4,46094
1071,1997,11,49300
1073,1979,97,642479
1073,1980,111,641307
1073,1981,72,636438
1073,1982,80,630156
1073,1983,62,627661
1073,1984,76,625666
1073,1985,77,624316
1073,1986,97,622509
1073,1987,75,621598
1073,1988,104,618872
1073,1989,83,615922
1073,1990,123,613185
1073,1991,87,617331
1073,1992,100,620134
1073,1993,96,622380
1073,1994,123,623653
1073,1995,112,623923
1073,1996,103,623186
1073,1997,100,621383
1073,1998,141,621546
1075,1979,1,15298
1075,1981,1,15492
1075,1982,4,15485
1075,1986,1,15381
1075,1987,1,15184
1075,1988,2,14901
1077,1979,4,77400
1077,1980,3,77351
1077,1981,1,77935
1077,1982,6,77428
1077,1983,5,76754
1077,1985,6,76453
1077,1986,2,75996
1077,1987,2,75638
1077,1988,4,75234
1077,1994,15,79126
1079,1979,3,29149
1079,1980,4,29066
1079,1981,5,29022
1079,1983,4,29394
1079,1984,2,29725
1079,1985,3,29743
1079,1986,2,29521
1079,1987,1,29561
1079,1988,3,29638
1081,1979,5,74156
1081,1980,7,74441
1081,1981,5,75682
1081,1982,7,76923
1081,1983,10,76865
1081,1984,3,77936
1081,1985,6,78741
1081,1986,3,80292
1081,1987,7,80069
1081,1988,12,81914
1081,1989,13,83053
1081,1995,12,95970
1083,1979,4,43223
1083,1980,5,44171
1083,1981,5,43942
1083,1982,8,44496
1083,1983,3,45250
1083,1984,3,45555
1083,1985,5,47148
1083,1986,2,47815
1083,1987,6,48961
1083,1988,5,50055
1085,1979,1,12752
1085,1980,2,12707
1085,1982,3,12192
1085,1986,1,12015
1085,1988,2,11849
1087,1979,3,25192
1087,1980,8,25395
1087,1981,4,25131
1087,1982,6,24931
1087,1983,3,24477
1087,1984,3,23987
1087,1985,3,23839
1087,1986,4,23772
1087,1987,1,24044
1087,1988,10,23729
1089,1979,9,190474
1089,1980,17,192259
1089,1981,13,194817
1089,1982,23,197380
1089,1983,16,200869
1089,1984,21,204707
1089,1985,21,209050
1089,1986,17,213618
1089,1987,16,218568
1089,1988,14,224282
1089,1989,15,228614
1089,1990,19,231064
1089,1991,22,237968
1089,1992,21,245313
1089,1993,25,253375
1089,1994,25,256629
1089,1995,34,255417
1089,1996,23,255934
1089,1997,24,257015
1089,1998,36,261389
1091,1979,3,23944
1091,1980,5,23740
1091,1983,1,23098
1091,1984,4,22891
1091,1985,6,22734
1091,1986,1,22408
1091,1987,2,22291
1091,1988,2,22121
1091,1998,11,21263
1093,1979,1,28372
1093,1980,4,28568
1093,1981,6,28776
1093,1982,3,28919
1093,1983,2,29340
1093,1984,4,28964
1093,1985,1,28929
1093,1986,4,28337
1093,1987,3,28379
1093,1988,5,28058
1095,1979,9,62235
1095,1980,6,62781
1095,1981,5,63323
1095,1982,6,63646
1095,1983,6,64008
1095,1984,11,64802
1095,1985,5,65820
1095,1986,5,66009
1095,1987,3,66509
1095,1988,9,66677
1095,1996,13,75586
1097,1979,43,350614
1097,1980,46,353454
1097,1981,41,357962
1097,1982,41,361376
1097,1983,39,362641
1097,1984,32,361431
1097,1985,46,363711
1097,1986,35,366066
1097,1987,35,367457
1097,1988,43,364658
1097,1989,48,361732
1097,1990,64,361158
1097,1991,55,364754
1097,1992,46,369310
1097,1993,56,375039
1097,1994,32,376450
1097,1995,57,375513
1097,1996,56,375882
1097,1997,51,377064
1097,1998,50,377604
1099,1979,5,21424
1099,1980,3,21516
1099,1981,3,21442
1099,1982,2,21400
1099,1983,1,21221
1099,1984,3,21606
1099,1985,1,21504
1099,1986,5,21554
1099,1987,4,21693
1099,1988,2,21801
1101,1979,19,186473
1101,1980,15,189966
1101,1981,21,192034
1101,1982,16,192107
1101,1983,15,192011
1101,1984,22,194077
1101,1985,14,195114
1101,1986,19,197202
1101,1987,18,198532
1101,1988,26,199096
1101,1989,22,200114
1101,1990,23,199174
1101,1991,32,202304
1101,1992,22,205085
1101,1993,19,207710
1101,1994,40,209796
1101,1995,60,210740
1101,1996,61,211471
1101,1997,67,212024
1101,1998,58,212427
1103,1979,12,87564
1103,1980,5,87055
1103,1981,7,86780
1103,1982,8,87065
1103,1983,5,87567
1103,1984,4,88629
1103,1985,5,90034
1103,1986,5,91379
1103,1987,5,92869
1103,1988,4,93489
1103,1995,16,101842
1103,1997,13,103432
1103,1998,22,104373
1105,1979,2,13932
1105,1980,3,14068
1105,1981,3,13907
1105,1985,3,13469
1105,1987,2,12910
1107,1980,2,20259
1107,1981,2,20486
1107,1982,2,20349
1107,1983,4,20377
1107,1984,1,20310
1107,1985,1,20265
1107,1986,1,20112
1107,1988,1,19490
1109,1979,6,26039
1109,1980,3,26624
1109,1982,2,26357
1109,1983,1,26274
1109,1984,2,25856
1109,1985,3,26176
1109,1986,2,26192
1109,1987,3,26027
1109,1988,2,25970
1111,1979,3,18696
1111,1980,5,18931
1111,1982,1,18994
1111,1985,2,18422
1111,1987,4,18194
1111,1988,2,18424
1111,1996,10,19903
1113,1979,4,46238
1113,1980,11,45824
1113,1981,4,45170
1113,1982,4,44946
1113,1983,5,44225
1113,1984,8,44618
1113,1985,12,44699
1113,1986,10,45360
1113,1987,10,45384
1113,1988,16,45095
1113,1989,11,44356
1113,1990,16,44446
1113,1993,10,47388
1113,1996,11,48827
1115,1980,2,39672
1115,1981,2,40095
1115,1982,3,40404
1115,1984,3,42345
1115,1985,4,43453
1115,1986,2,44012
1115,1988,1,45953
1117,1979,2,62644
1117,1980,5,64422
1117,1981,2,67329
1117,1982,4,68820
1117,1983,3,70713
1117,1984,3,73711
1117,1985,3,77263
1117,1986,6,80747
1117,1987,6,85910
1117,1988,3,89905
1117,1997,10,127395
1119,1979,3,15923
1119,1982,1,15972
1119,1983,1,15926
1119,1984,3,16020
1119,1985,3,16024
1119,1986,2,15984
1119,1987,3,15737
1119,1988,9,15461
1121,1979,9,70940
1121,1980,9,71113
1121,1981,14,71525
1121,1982,4,71738
1121,1983,11,72367
1121,1984,9,71827
1121,1985,9,71885
1121,1986,6,71856
1121,1987,10,71110
1121,1988,8,70706
1121,1989,10,70526
1121,1990,10,70258
1121,1995,10,73114
1121,1996,23,73666
1121,1997,18,74064
1123,1979,2,37280
1123,1980,2,36702
1123,1981,3,36645
1123,1982,8,36251
1123,1983,9,36230
1123,1984,3,36150
1123,1985,3,36239
1123,1986,5,36127
1123,1987,6,36238
1123,1988,2,36247
1123,1997,10,38256
1125,1979,15,130969
1125,1980,10,132801
1125,1981,15,133644
1125,1982,10,132173
1125,1983,11,132593
1125,1984,18,133174
1125,1985,13,135339
1125,1986,22,137623
1125,1987,4,139611
1125,1988,11,140922
1125,1989,16,142217
1125,1993,16,148131
1125,1995,21,152682
1125,1996,19,152718
1125,1997,12,154217
1125,1998,28,155431
1127,1979,1,65967
1127,1980,2,65417
1127,1981,2,64792
1127,1982,7,64459
1127,1983,6,64070
1127,1984,8,63999
1127,1985,8,64055
1127,1986,8,64618
1127,1987,3,64647
1127,1988,5,64120
1127,1992,11,63997
1127,1995,12,65031
1127,1997,10,65939
1127,1998,13,66137
1129,1979,2,16171
1129,1981,1,16825
1129,1982,1,16831
1129,1983,1,16662
1129,1984,2,16370
1129,1985,2,16248
1129,1986,1,16112
1129,1987,1,16228
1129,1988,2,16121
1131,1979,2,13746
1131,1980,1,13970
1131,1981,1,14043
1131,1982,1,14162
1131,1983,2,14260
1131,1985,3,13829
1131,1986,1,13644
1131,1988,5,13088
1133,1979,3,21390
1133,1980,2,21123
1133,1981,2,21037
1133,1982,1,20988
1133,1984,3,21034
1133,1985,1,21093
1133,1986,1,20922
1133,1987,1,20621
1133,1988,4,20502
2020,1989,10,223488
2020,1990,17,224251
2020,1991,12,232951
2020,1992,18,243296
2020,1993,18,247526
2020,1994,13,249431
2020,1995,15,248752
2020,1996,27,247012
2020,1997,21,248607
2020,1998,19,252739
2900,1979,16,401589
2900,1980,8,400359
2900,1981,18,416677
2900,1982,10,447908
2900,1983,19,486090
2900,1984,17,510540
2900,1985,19,528595
2900,1986,24,538930
2900,1987,17,533273
2900,1988,31,535625
4001,1979,4,51408
4001,1980,3,51331
4001,1981,2,50434
4001,1982,6,51507
4001,1983,7,52307
4001,1984,9,52190
4001,1985,8,52643
4001,1986,5,54727
4001,1987,9,57139
4001,1988,8,58427
4001,1992,12,61375
4001,1995,11,66404
4001,1996,15,67564
4001,1998,14,67859
4003,1979,7,83499
4003,1980,5,82804
4003,1981,9,85031
4003,1982,9,85168
4003,1983,17,85527
4003,1984,16,87420
4003,1985,10,87537
4003,1986,6,90175
4003,1987,8,92631
4003,1988,10,92223
4003,1990,17,93280
4003,1991,11,94215
4003,1992,12,96497
4003,1993,10,99158
4003,1994,12,103831
4003,1995,14,106728
4003,1996,12,106769
4003,1997,14,108407
4003,1998,14,109270
4005,1979,2,72473
4005,1980,2,74205
4005,1981,5,76808
4005,1982,3,78115
4005,1983,5,80049
4005,1984,4,82364
4005,1985,10,83243
4005,1986,7,86153
4005,1987,4,89027
4005,1988,9,91824
4005,1989,11,93619
4005,1996,12,110188
4005,1998,13,112092
4007,1979,6,35264
4007,1980,3,35783
4007,1981,5,36527
4007,1982,4,37338
4007,1983,7,36846
4007,1984,3,35671
4007,1985,4,35288
4007,1986,7,35959
4007,1987,8,36222
4007,1988,8,36634
4007,1997,15,45707
4007,1998,15,46460
4009,1979,1,20516
4009,1981,3,22318
4009,1982,4,22873
4009,1983,4,22944
4009,1984,1,23429
4009,1985,2,23422
4009,1986,1,23227
4009,1987,7,23990
4009,1988,6,24310
4009,1998,13,31040
4011,1980,1,11205
4011,1982,1,11469
4011,1983,1,10397
4011,1984,3,9917
4011,1985,1,8774
4011,1986,1,8102
4011,1987,1,7980
4011,1988,1,7796
4013,1979,94,1402104
4013,1980,99,1452360
4013,1981,102,1504200
4013,1982,109,1546013
4013,1983,135,1592924
4013,1984,130,1660976
4013,1985,125,1748831
4013,1986,137,1820905
4013,1987,151,1901229
4013,1988,145,1953998
4013,1989,192,2001906
4013,1990,159,2017192
4013,1991,141,2081996
4013,1992,184,2149218
