FIPS,Year,SubUseDisDeaths,Population
1001,1987,3,31999
1001,1988,5,32326
1003,1987,3,88118
1003,1988,5,89292
1003,1994,13,109289
1003,1997,12,121800
1003,1998,14,125666
1005,1988,2,23670
1007,1987,1,15243
1007,1988,1,15205
1009,1987,1,35961
1011,1987,2,10130
1011,1988,2,10394
1013,1987,2,20708
1013,1988,1,20496
1015,1987,14,112884
1015,1988,16,111907
1015,1989,15,110975
1015,1990,16,110464
1015,1992,13,109954
1015,1993,14,110480
1015,1995,10,110530
1015,1997,13,110848
1017,1987,3,35136
1017,1988,2,34712
1019,1987,3,18167
1019,1988,1,18403
1021,1988,3,30427
1023,1987,1,15573
1023,1988,2,15473
1025,1987,3,25987
1025,1988,2,25650
1027,1987,3,12319
1027,1988,1,12247
1029,1987,1,12021
1031,1988,2,38538
1033,1987,6,49135
1033,1988,8,48716
1035,1987,1,13656
1035,1988,2,13329
1037,1987,1,10502
1037,1988,6,10392
1039,1987,2,34058
1039,1988,2,33877
1041,1987,1,12782
1041,1988,4,12740
1043,1987,1,62437
1043,1988,1,62642
1045,1987,3,47827
1047,1987,7,47847
1047,1988,9,46795
1047,1994,10,44828
1049,1987,4,50682
1049,1988,3,50832
1051,1987,2,45365
1051,1988,6,45895
1053,1987,4,34951
1053,1988,3,34106
1055,1987,7,95332
1055,1988,7,94652
1055,1990,14,93463
1055,1992,13,94149
1055,1994,15,95220
1055,1997,14,96645
1055,1998,13,96859
1059,1987,3,26573
1059,1988,2,26463
1061,1987,3,22144
1061,1988,2,21919
1063,1988,1,9518
1065,1988,1,14154
1067,1987,4,14137
1067,1988,1,14138
1069,1987,8,76261
1069,1988,8,76607
1071,1987,3,46269
1071,1988,4,46094
1073,1987,99,621598
1073,1988,107,618872
1073,1989,90,615922
1073,1990,98,613185
1073,1991,72,617331
1073,1992,89,620134
1073,1993,93,622380
1073,1994,85,623653
1073,1995,106,623923
1073,1996,104,623186
1073,1997,91,621383
1073,1998,78,621546
1077,1987,4,75638
1077,1988,9,75234
1077,1994,10,79126
1079,1987,1,29561
1079,1988,1,29638
1081,1987,3,80069
1081,1988,6,81914
1083,1987,3,48961
1083,1988,1,50055
1085,1988,1,11849
1087,1987,1,24044
1087,1988,1,23729
1089,1987,16,218568
1089,1988,23,224282
1089,1989,12,228614
1089,1990,25,231064
1089,1991,13,237968
1089,1992,12,245313
1089,1994,15,256629
1089,1995,14,255417
1089,1996,21,255934
1089,1997,14,257015
1089,1998,15,261389
1091,1987,2,22291
1093,1987,3,28379
