FIPS,Year,SubUseDisDeaths,Population
1093,1988,1,28058
1095,1987,4,66509
1095,1988,8,66677
1095,1998,12,76656
1097,1987,36,367457
1097,1988,34,364658
1097,1989,29,361732
1097,1990,34,361158
1097,1991,35,364754
1097,1992,32,369310
1097,1993,28,375039
1097,1994,23,376450
1097,1995,37,375513
1097,1996,42,375882
1097,1997,51,377064
1097,1998,52,377604
1099,1987,1,21693
1099,1988,2,21801
1101,1987,19,198532
1101,1988,22,199096
1101,1989,18,200114
1101,1990,28,199174
1101,1991,20,202304
1101,1992,18,205085
1101,1993,27,207710
1101,1994,31,209796
1101,1995,12,210740
1101,1996,17,211471
1101,1997,23,212024
1101,1998,18,212427
1103,1987,3,92869
1103,1988,4,93489
1103,1989,10,94289
1103,1995,10,101842
1105,1987,1,12910
1105,1988,2,12520
1107,1987,1,19775
1107,1988,1,19490
1109,1987,2,26027
1109,1988,2,25970
1111,1987,1,18194
1111,1988,2,18424
1113,1987,4,45384
1113,1988,8,45095
1113,1993,12,47388
1113,1995,11,48690
1113,1997,11,47923
1115,1987,7,45479
1115,1988,3,45953
1117,1987,5,85910
1117,1988,5,89905
1117,1995,14,118700
1121,1987,7,71110
1121,1988,1,70706
1121,1989,10,70526
1121,1991,10,70884
1121,1993,11,72127
1123,1987,4,36238
1123,1988,2,36247
1125,1987,7,139611
1125,1988,13,140922
1125,1989,14,142217
1125,1992,12,146600
1125,1993,10,148131
1125,1994,14,149658
1125,1995,11,152682
1125,1997,10,154217
1127,1987,2,64647
1127,1988,3,64120
1127,1997,11,65939
1131,1987,1,13486
1133,1987,1,20621
1133,1988,1,20502
2020,1989,31,223488
2020,1990,34,224251
2020,1991,49,232951
2020,1992,60,243296
2020,1993,57,247526
2020,1994,46,249431
2020,1995,51,248752
2020,1996,51,247012
2020,1997,51,248607
2020,1998,49,252739
2090,1992,12,81789
2090,1993,12,82115
2090,1994,13,82572
2090,1995,14,80938
2090,1996,18,81823
2090,1997,18,81275
2090,1998,25,82026
2122,1992,10,42887
2122,1996,10,46926
2900,1987,75,533273
2900,1988,89,535625
4001,1987,9,57139
4001,1988,23,58427
4001,1989,22,59492
4001,1990,21,59968
4001,1991,22,60996
4001,1992,35,61375
4001,1993,17,62848
4001,1994,20,64306
4001,1995,15,66404
4001,1996,23,67564
4001,1997,18,68601
4001,1998,20,67859
4003,1987,9,92631
4003,1988,16,92223
4003,1989,17,93341
4003,1990,12,93280
4003,1992,11,96497
4003,1994,14,103831
4003,1996,19,106769
4003,1997,15,108407
4003,1998,17,109270
4005,1987,15,89027
4005,1988,20,91824
4005,1989,14,93619
4005,1990,15,94702
4005,1991,11,97569
4005,1992,19,100294
4005,1993,11,103247
4005,1995,13,108450
4005,1996,19,110188
4005,1997,14,111843
4005,1998,22,112092
4007,1987,5,36222
4007,1988,9,36634
4007,1990,13,37481
4007,1991,11,38279
4007,1993,10,40763
4007,1994,15,42028
4007,1995,13,43523
4007,1996,16,44679
4007,1997,18,45707
4007,1998,16,46460
4009,1987,3,23990
4009,1988,3,24310
4009,1989,11,24853
4009,1996,10,29804
4012,1995,10,15183
4012,1998,15,17170
4013,1987,256,1901229
4013,1988,275,1953998
4013,1989,259,2001906
4013,1990,243,2017192
4013,1991,293,2081996
4013,1992,323,2149218
4013,1993,330,2229707
4013,1994,396,2339072
4013,1995,397,2454348
4013,1996,458,2553488
4013,1997,418,2649432
4013,1998,494,2748207
4015,1987,15,72963
4015,1988,17,77575
4015,1989,10,81787
4015,1990,19,87685
4015,1991,11,95616
4015,1992,26,101369
4015,1993,25,107899
4015,1994,38,114512
4015,1995,25,121078
4015,1996,28,126414
4015,1997,40,130115
4015,1998,32,133552
4017,1987,11,72134
4017,1988,29,72843
4017,1989,22,74686
4017,1990,25,75450
4017,1991,24,76327
4017,1992,18,77927
4017,1993,27,81120
4017,1994,24,82800
4017,1995,26,85571
4017,1996,31,87692
4017,1997,23,89824
4017,1998,26,91610
4019,1987,95,609240
4019,1988,109,623967
4019,1989,112,629865
4019,1990,112,631154
4019,1991,121,641007
4019,1992,128,657357
4019,1993,126,676671
4019,1994,133,700136
4019,1995,151,720808
4019,1996,152,733949
4019,1997,156,746909
4019,1998,190,759698
4021,1987,19,106441
4021,1988,22,109106
4021,1989,19,110370
4021,1990,17,110804
4021,1991,21,114747
4021,1992,27,119401
4021,1993,22,124603
4021,1994,32,130452
4021,1995,25,137299
4021,1996,24,143402
4021,1997,39,148872
4021,1998,23,155054
4023,1988,4,26029
4025,1987,17,86456
4025,1988,15,91555
4025,1989,18,95060
4025,1990,10,98555
4025,1991,16,102891
4025,1992,24,107561
4025,1993,23,113544
4025,1994,25,119737
4025,1995,22,126985
4025,1996,38,132623
4025,1997,31,137389
4025,1998,28,142464
4027,1987,12,101574
4027,1988,14,105520
4027,1989,13,111867
4027,1990,18,114942
4027,1991,12,119940
4027,1992,13,126659
4027,1993,19,132646
4027,1994,12,121460
4027,1995,15,124852
4027,1996,19,129595
4027,1997,21,135361
4027,1998,11,139798
5001,1987,5,20534
5001,1988,1,20180
5003,1987,1,23614
5003,1988,1,23370
5005,1987,4,27068
5005,1988,4,27175
5007,1987,3,84897
5007,1988,4,86812
5009,1987,2,25736
5009,1988,2,25956
5011,1988,3,11037
5013,1987,1,5568
5015,1988,1,16892
5017,1987,1,15337
5017,1988,1,15075
5019,1987,1,20511
5021,1987,1,17135
5027,1987,1,24166
5027,1988,1,24015
5029,1987,2,18011
5029,1988,1,17925
5031,1987,4,62309
5033,1987,1,38455
5033,1988,2,39211
5035,1988,6,47925
5035,1998,10,47952
5039,1987,1,9226
5041,1987,3,16542
5041,1988,1,16149
5043,1988,1,16394
5045,1987,3,52482
5047,1987,1,13984
5051,1987,4,66927
5051,1988,5,66485
5051,1989,12,66674
5051,1991,10,67853
5051,1992,12,69310
5051,1993,13,71039
5051,1994,12,72900
5051,1995,15,74060
5051,1996,12,75425
5051,1997,13,76672
5053,1988,1,13014
5055,1987,3,29320
5055,1988,7,29269
5057,1988,1,20068
5059,1987,1,25093
5059,1988,1,24578
5061,1987,1,12547
5063,1987,1,29380
5065,1987,1,9784
5065,1988,1,9821
5067,1987,1,17925
5069,1987,1,82654
5069,1988,8,82231
5069,1992,11,80667
5069,1994,13,80489
5069,1995,11,80106
5071,1988,2,16664
5073,1987,2,9167
5075,1987,1,16517
5075,1988,1,16153
5077,1987,1,13034
5081,1987,3,12931
5083,1987,1,19108
5083,1988,1,18953
5085,1988,3,36165
5087,1987,1,10941
5091,1987,3,36876
5091,1988,3,36957
5091,1998,10,37807
5093,1987,3,55265
5093,1988,4,55043
5095,1988,3,10905
5097,1987,1,7288
5097,1988,1,7257
5101,1988,1,7348
5103,1987,2,29538
5103,1988,1,29312
5107,1987,3,28546
5107,1988,1,27785
5109,1987,1,9320
5109,1988,1,9393
5111,1987,1,23883
5111,1988,3,23573
5113,1987,1,15586
5113,1988,1,15739
5115,1987,2,41700
5115,1988,2,42174
5119,1987,21,337299
5119,1988,18,334383
5119,1989,23,334245
5119,1990,20,333230
5119,1991,33,335140
5119,1992,30,338240
5119,1993,54,340366
5119,1994,36,339415
5119,1995,43,338638
5119,1996,27,339933
5119,1997,32,338968
5119,1998,35,339751
5121,1987,2,15223
5121,1988,1,15141
5123,1988,1,27660
5125,1988,1,59357
5125,1993,11,66702
5129,1988,2,7487
5131,1987,7,93676
5131,1988,8,94052
5131,1994,17,99671
5131,1995,11,101455
5135,1988,2,12712
5139,1987,3,44357
5139,1988,5,44058
5139,1998,10,42241
5141,1987,1,12866
5141,1988,1,12853
5143,1987,12,103109
5143,1988,7,104503
5143,1989,11,105955
5143,1994,14,127852
5143,1996,15,139273
5145,1987,2,49754
5145,1988,1,49969
5149,1988,1,16639
6001,1987,191,1178226
6001,1988,243,1199494
6001,1989,216,1218886
6001,1990,199,1224926
6001,1991,205,1259958
6001,1992,236,1272550
6001,1993,258,1277969
6001,1994,278,1279394
6001,1995,236,1282853
6001,1996,241,1293891
6001,1997,252,1314056
6001,1998,263,1338710
6003,1988,1,1134
6005,1987,3,22948
6005,1988,5,25255
6007,1987,19,155567
6007,1988,18,160030
6007,1989,28,164228
6007,1990,20,169199
6007,1991,19,173862
6007,1992,25,176374
6007,1993,49,178502
6007,1994,30,179901
6007,1995,33,181074
6007,1996,26,180932
6007,1997,34,182087
6007,1998,39,183790
6009,1987,2,25568
6009,1988,2,26524
6009,1995,10,35211
6011,1987,1,14219
6013,1987,91,709722
6013,1988,107,728070
6013,1989,119,752104
6013,1990,102,769819
6013,1991,114,785641
6013,1992,127,800370
6013,1993,121,811531
6013,1994,149,819361
6013,1995,127,827917
6013,1996,113,837918
6013,1997,108,854968
6013,1998,143,872119
6015,1987,4,18590
6015,1988,6,19374
6015,1996,11,26530
6015,1998,12,26652
6017,1987,19,102803
6017,1988,18,108323
6017,1989,14,114096
6017,1990,18,120946
6017,1991,19,126827
6017,1992,21,129741
6017,1993,13,133104
6017,1994,13,135283
6017,1995,18,137462
6017,1996,33,139379
6017,1997,26,141822
6017,1998,29,144315
6019,1987,97,583844
6019,1988,82,602082
6019,1989,121,624480
6019,1990,103,640581
6019,1991,103,662415
6019,1992,142,680381
6019,1993,146,696260
6019,1994,161,708234
6019,1995,137,716765
6019,1996,126,727603
6019,1997,111,736312
6019,1998,128,743239
6021,1987,6,21947
6021,1988,3,22460
6023,1987,30,107586
6023,1988,26,109288
6023,1989,33,111424
6023,1990,29,113134
6023,1991,41,114911
6023,1992,51,116430
6023,1993,48,117405
6023,1994,43,117111
6023,1995,38,118886
6023,1996,29,118917
6023,1997,47,119721
6023,1998,42,119584
6025,1987,14,96942
6025,1988,13,98857
6025,1989,18,102210
6025,1990,21,105946
6025,1992,29,119773
6025,1993,26,128398
6025,1994,22,129818
6025,1995,27,132321
6025,1996,27,133070
6025,1997,23,133472
6025,1998,36,134454
6027,1987,3,16500
6027,1988,5,16591
6027,1993,10,16798
6029,1987,71,480248
6029,1988,74,493085
6029,1989,99,509328
6029,1990,99,524108
6029,1991,95,548020
6029,1992,103,568113
6029,1993,114,577080
6029,1994,119,591541
6029,1995,134,595974
6029,1996,154,601691
6029,1997,131,608927
6029,1998,127,617052
6031,1987,4,85538
6031,1988,9,91777
6031,1989,10,96858
6031,1990,12,98540
6031,1991,10,101029
6031,1992,18,104058
6031,1993,16,105753
6031,1994,15,108015
6031,1995,12,110086
6031,1996,15,111706
6031,1997,22,112801
6031,1998,14,117502
6033,1987,14,43231
6033,1988,14,43935
6033,1989,17,44772
6033,1990,13,46269
6033,1991,26,48423
6033,1992,22,49696
6033,1993,19,50617
6033,1994,23,51217
6033,1995,22,51378
6033,1996,17,51281
6033,1997,17,51123
6033,1998,23,51503
6035,1987,4,25135
6035,1988,3,25750
6035,1998,10,32766
6037,1987,1903,8237729
6037,1988,2071,8354142
6037,1989,2006,8485817
6037,1990,1876,8546671
6037,1991,1656,8608371
6037,1992,1818,8708341
6037,1993,1839,8744771
6037,1994,1852,8733924
6037,1995,1728,8718357
6037,1996,1778,8747015
6037,1997,1644,8813724
6037,1998,1735,8913914
6039,1987,12,75455
6039,1988,14,78091
6039,1989,12,80998
6039,1990,12,84197
6039,1991,12,90696
6039,1992,13,95119
6039,1993,18,99459
6039,1994,21,102593
6039,1995,18,104384
6039,1996,11,108000
6039,1997,20,111054
6039,1998,20,113719
6041,1987,39,214561
6041,1988,44,215365
6041,1989,37,218232
6041,1990,43,218795
6041,1991,32,221045
6041,1992,46,223080
6041,1993,47,224719
6041,1994,44,225273
6041,1995,38,224875
6041,1996,45,223872
6041,1997,43,226448
6041,1998,36,228901
6043,1987,1,12322
6043,1988,1,12677
6045,1987,14,71354
6045,1988,11,72397
6045,1989,10,74180
6045,1990,14,75939
6045,1991,15,77015
6045,1992,16,77138
6045,1993,18,77154
6045,1994,13,77420
6045,1995,18,78161
6045,1996,21,78528
6045,1997,23,78955
6045,1998,23,79625
6047,1987,13,157655
6047,1988,16,162234
6047,1989,28,167392
6047,1990,21,172516
6047,1991,15,179445
6047,1993,21,186237
6047,1994,29,190585
6047,1995,27,187894
6047,1996,33,187065
6047,1997,24,190217
6047,1998,37,193936
6049,1987,1,8754
6051,1987,2,8759
6051,1988,1,8922
6053,1987,42,328891
6053,1988,46,333481
6053,1989,51,337498
6053,1990,48,342458
6053,1991,55,350583
6053,1992,71,357382
6053,1993,62,355666
6053,1994,64,336729
6053,1995,67,339302
6053,1996,57,345435
6053,1997,69,359532
6053,1998,52,370154
6055,1987,12,97378
6055,1988,4,98315
6055,1990,11,102480
6055,1991,10,103545
6055,1992,12,105451
6055,1993,21,105989
6055,1994,23,106849
6055,1995,22,107278
6055,1996,23,108260
6055,1997,19,109878
6055,1998,16,111456
6057,1987,8,66054
6057,1988,11,68646
6057,1989,10,71059
6057,1990,11,73437
6057,1991,12,75615
6057,1992,21,77106
6057,1993,14,77779
6057,1994,11,78779
6057,1995,14,79808
6057,1996,12,80833
6057,1997,20,81857
6057,1998,11,82692
6059,1987,200,2200804
6059,1988,216,2252350
6059,1989,238,2303661
6059,1990,198,2327566
6059,1991,220,2360294
6059,1992,322,2403208
6059,1993,367,2435630
6059,1994,343,2465362
6059,1995,236,2497942
6059,1996,373,2533305
6059,1997,379,2594233
6059,1998,386,2652911
6061,1987,18,140424
6061,1988,15,146453
6061,1989,20,155074
6061,1990,26,164587
6061,1991,21,172746
6061,1992,24,178066
6061,1993,24,183061
6061,1994,30,189264
6061,1995,23,196435
6061,1996,21,202959
6061,1997,30,209261
6061,1998,34,217206
6063,1987,2,17992
6063,1988,1,18229
6065,1987,176,881374
6065,1988,177,945166
6065,1989,198,1030473
6065,1990,218,1111276
6065,1991,207,1180217
6065,1992,246,1217866
6065,1993,248,1244024
6065,1994,215,1272842
6065,1995,234,1296014
6065,1996,246,1313144
6065,1997,258,1340011
6065,1998,294,1374810
6067,1987,120,912296
6067,1988,146,941642
6067,1989,149,969803
6067,1990,142,1000621
6067,1991,127,1061567
6067,1992,201,1074466
6067,1993,196,1078860
6067,1994,211,1079004
6067,1995,190,1088069
6067,1996,243,1099863
6067,1997,207,1111508
6067,1998,239,1126631
6069,1987,3,31634
6069,1988,7,33086
6071,1987,204,1152160
6071,1988,241,1229775
6071,1989,250,1309830
6071,1990,226,1372371
6071,1991,242,1440595
6071,1992,295,1482081
6071,1993,289,1495830
6071,1994,282,1504135
6071,1995,308,1520089
6071,1996,320,1538250
6071,1997,286,1558072
6071,1998,350,1585062
6073,1987,301,2183123
6073,1988,311,2268879
6073,1989,345,2346623
6073,1990,401,2395042
6073,1991,387,2439901
6073,1992,446,2479419
6073,1993,418,2482079
6073,1994,443,2493461
6073,1995,436,2497963
6073,1996,483,2520582
6073,1997,503,2553959
6073,1998,508,2595096
6075,1987,242,690677
6075,1988,279,685408
6075,1989,267,681234
6075,1990,250,678480
6075,1991,230,683324
6075,1992,337,688547
6075,1993,289,693256
6075,1994,293,695217
6075,1995,313,698329
6075,1996,264,705292
6075,1997,271,713830
6075,1998,288,720799
6077,1987,69,426186
6077,1988,87,437039
6077,1989,100,446304
6077,1990,83,459413
6077,1991,85,469516
6077,1992,110,476568
6077,1993,113,482328
6077,1994,96,487617
6077,1995,87,492542
6077,1996,119,498319
6077,1997,102,504931
6077,1998,98,512587
6079,1987,25,188335
6079,1988,27,192954
6079,1989,31,201262
6079,1990,39,204840
6079,1991,24,206666
6079,1992,36,207999
6079,1993,39,209224
6079,1994,43,211686
6079,1995,35,214336
6079,1996,50,217153
6079,1997,42,220239
6079,1998,35,223164
6081,1987,93,599513
6081,1988,122,607067
6081,1989,114,615733
6081,1990,90,618115
6081,1991,93,621309
6081,1992,110,627999
6081,1993,101,633533
6081,1994,110,637995
6081,1995,117,641475
6081,1996,89,647954
6081,1997,91,657425
6081,1998,98,662001
6083,1987,58,333820
6083,1988,65,337654
6083,1989,56,347068
6083,1990,65,350457
6083,1991,44,354426
6083,1992,59,357324
6083,1993,72,359084
6083,1994,78,362651
6083,1995,81,362155
6083,1996,88,363266
6083,1997,74,367666
6083,1998,73,370828
6085,1987,157,1402554
6085,1988,169,1427328
6085,1989,187,1451798
6085,1990,158,1449767
6085,1991,161,1459931
6085,1992,161,1477148
6085,1993,197,1492484
6085,1994,198,1502915
6085,1995,174,1519052
6085,1996,191,1545806
6085,1997,173,1572355
6085,1998,187,1592604
6087,1987,43,209999
6087,1988,33,214523
6087,1989,44,220139
6087,1990,35,218525
6087,1991,43,218148
6087,1992,42,221073
6087,1993,44,223408
6087,1994,42,225501
6087,1995,35,226933
6087,1996,52,228693
6087,1997,43,232942
6087,1998,54,238527
6089,1987,24,126112
6089,1988,25,129561
6089,1989,30,133483
6089,1990,25,139027
6089,1991,28,144858
6089,1992,30,147754
6089,1993,18,148321
6089,1994,39,148931
6089,1995,30,149124
6089,1996,31,149325
6089,1997,34,149950
6089,1998,45,150829
6091,1988,1,3091
6093,1987,7,38884
6093,1988,7,39409
6093,1989,11,40084
6093,1992,10,41154
6095,1987,33,288115
6095,1988,39,301044
6095,1989,39,316842
6095,1990,34,330416
6095,1991,42,342571
6095,1992,37,348262
6095,1993,57,351918
6095,1994,43,353106
6095,1995,48,351766
6095,1996,53,353648
6095,1997,45,356924
6095,1998,54,363050
6097,1987,59,335489
6097,1988,63,346488
6097,1989,81,358767
6097,1990,58,365594
6097,1991,79,373599
6097,1992,59,380202
6097,1993,96,384962
6097,1994,72,389680
6097,1995,70,395083
6097,1996,89,400314
6097,1997,99,408299
6097,1998,73,416573
6099,1987,45,309037
6099,1988,43,321459
6099,1989,61,337808
6099,1990,58,354666
6099,1991,53,368363
6099,1992,65,376628
6099,1993,83,383270
6099,1994,79,387399
6099,1995,86,391045
6099,1996,72,395312
6099,1997,70,400655
6099,1998,108,407766
6101,1987,8,57071
6101,1988,3,58265
6101,1989,11,59752
6101,1991,13,63900
6101,1994,14,69142
6101,1996,10,71414
6101,1998,16,72891
6103,1987,5,42996
6103,1988,7,44128
6103,1991,11,47688
6103,1997,13,51007
6103,1998,12,51322
6105,1987,4,12097
6105,1988,2,12379
6107,1987,32,278968
6107,1988,44,284976
6107,1989,41,291336
6107,1990,38,298500
6107,1991,46,309134
6107,1992,41,317322
6107,1993,46,324341
6107,1994,51,330661
6107,1995,63,332930
6107,1996,54,335496
6107,1997,60,339241
6107,1998,59,343995
6109,1987,5,40914
6109,1988,4,42507
6109,1994,17,48432
6109,1997,10,48559
6109,1998,12,48815
6111,1987,89,609032
6111,1988,86,627154
6111,1989,108,640419
6111,1990,91,644009
6111,1991,82,648511
6111,1992,126,656277
6111,1993,107,661141
6111,1994,121,668860
6111,1995,88,673254
6111,1996,108,678627
6111,1997,114,688090
6111,1998,122,697199
6113,1987,16,123675
6113,1988,17,128376
6113,1989,28,133005
6113,1990,23,135661
6113,1991,17,139150
6113,1992,20,140506
6113,1993,31,141951
6113,1994,27,143615
6113,1995,26,145992
6113,1996,37,148503
6113,1997,23,151755
6113,1998,28,154488
6115,1987,1,52778
6115,1988,5,53820
6115,1992,13,58334
6115,1998,18,57361
8001,1987,27,262132
8001,1988,33,260185
8001,1989,30,256589
8001,1990,30,257997
8001,1991,54,266827
8001,1992,44,276435
8001,1993,37,285552
8001,1994,44,293180
8001,1995,40,303981
8001,1996,50,313020
8001,1997,65,321617
8001,1998,57,331986
8003,1987,2,12830
8005,1987,37,372996
8005,1988,40,372958
8005,1989,40,375168
8005,1990,29,381256
8005,1991,46,395014
8005,1992,26,408008
8005,1993,32,418586
8005,1994,46,426941
8005,1995,60,431953
8005,1996,67,438184
8005,1997,64,445656
8005,1998,60,454816
8007,1987,1,4844
8009,1988,1,4441
8011,1987,1,5165
8011,1988,1,4976
8013,1987,15,211309
8013,1988,24,212945
8013,1989,19,216215
8013,1990,21,217950
8013,1991,18,225046
8013,1992,23,232301
8013,1993,26,239021
8013,1994,34,245619
8013,1995,22,250611
8013,1996,31,255414
8013,1997,21,261030
8013,1998,27,267585
8015,1987,4,11901
8015,1988,4,11851
8023,1988,2,2999
8027,1987,1,1714
8029,1987,1,19227
8029,1988,2,18950
8031,1987,106,464980
8031,1988,123,452349
8031,1989,147,444972
8031,1990,139,439649
8031,1991,158,450108
8031,1992,162,466539
8031,1993,157,479076
8031,1994,192,483203
8031,1995,213,489492
8031,1996,163,498083
8031,1997,146,506765
8031,1998,160,511316
8035,1987,2,46188
8035,1988,2,50615
8035,1998,11,144005
8037,1987,2,18292
8037,1988,1,19268
8041,1987,43,384461
8041,1988,45,385475
8041,1989,46,386596
8041,1990,51,385438
8041,1991,56,392043
8041,1992,50,409097
8041,1993,75,423341
8041,1994,72,443034
8041,1995,67,454664
8041,1996,63,462381
8041,1997,63,469961
8041,1998,85,480019
8043,1987,1,30072
8043,1988,6,29885
8043,1995,10,38270
8045,1987,5,25883
8047,1988,1,2946
8049,1988,1,7824
8051,1988,1,9912
8055,1988,2,5755
8059,1987,30,416677
8059,1988,40,419112
8059,1989,29,422813
8059,1990,36,425135
8059,1991,41,432712
8059,1992,48,442199
8059,1993,54,456202
8059,1994,42,466048
8059,1995,75,473923
8059,1996,50,480540
8059,1997,57,486959
8059,1998,59,492201
8063,1987,1,6768
8067,1987,4,30164
8067,1988,4,30139
8069,1987,13,170767
8069,1988,16,173583
8069,1989,13,176074
8069,1990,20,178642
8069,1991,17,185169
8069,1992,20,191846
8069,1993,13,199480
8069,1994,19,207889
8069,1995,18,213465
8069,1996,17,218516
8069,1997,10,223470
8069,1998,18,230000
8071,1987,4,12784
8071,1988,3,12511
8075,1987,2,17153
8075,1988,1,16832
8077,1987,11,82552
8077,1988,9,83786
8077,1989,16,85876
8077,1990,13,87643
8077,1992,14,91909
8077,1993,13,94232
8077,1994,16,96719
8077,1995,11,98965
8077,1996,13,100829
8077,1997,19,102932
8077,1998,10,104753
8081,1988,1,10901
8083,1987,2,17880
8083,1988,6,17833
8085,1987,2,22763
8085,1988,5,22682
8087,1987,1,20718
8089,1987,2,19602
8089,1988,2,19123
8093,1987,1,6691
8097,1987,3,11427
8097,1988,2,11912
8099,1987,2,13243
8099,1988,1,13183
8101,1987,22,117183
8101,1988,22,116350
8101,1989,36,115834
8101,1990,31,115279
8101,1991,33,115446
8101,1992,30,116154
8101,1993,33,118174
8101,1994,28,120109
8101,1995,29,121914
8101,1996,32,123308
8101,1997,18,125184
8101,1998,32,127912
8103,1988,1,6015
8105,1987,2,10715
8105,1988,2,10530
8107,1987,1,13207
8107,1988,2,13103
8109,1987,1,4196
8119,1987,1,11710
8119,1988,1,11948
8123,1987,10,126241
8123,1988,3,126199
8123,1989,16,126440
8123,1990,13,126005
8123,1991,16,128315
8123,1992,18,131471
8123,1993,13,136434
8123,1994,14,140947
8123,1995,19,145542
8123,1996,18,149432
8123,1997,13,154549
8123,1998,21,159390
8125,1988,1,8634
9001,1987,55,786111
9001,1988,65,783823
9001,1989,57,784466
9001,1990,65,782063
9001,1991,45,785755
9001,1992,76,785549
9001,1993,85,788866
9001,1994,83,791287
9001,1995,103,795573
9001,1996,101,801198
9001,1997,62,806533
9001,1998,84,813329
9003,1987,77,797523
9003,1988,99,805878
9003,1989,75,804344
9003,1990,75,801776
9003,1991,80,801939
9003,1992,110,797591
9003,1993,112,795443
9003,1994,108,793295
9003,1995,124,788300
9003,1996,109,787013
9003,1997,105,785199
9003,1998,100,787367
9005,1987,15,157760
9005,1988,9,159806
9005,1989,10,162238
9005,1990,13,163310
9005,1992,12,164787
9005,1993,26,165463
9005,1994,26,165620
9005,1995,11,165875
9005,1997,10,166876
9005,1998,16,167445
9007,1987,8,131075
9007,1988,10,133134
9007,1989,11,134456
9007,1992,12,135797
9007,1993,11,136695
9007,1994,16,137500
9007,1995,15,138563
9007,1996,13,139170
9007,1997,16,140380
9007,1998,16,141473
9009,1987,69,750723
9009,1988,75,754537
9009,1989,65,755674
9009,1990,61,754089
9009,1991,67,755552
9009,1992,80,754852
9009,1993,129,753899
9009,1994,108,752949
9009,1995,105,751295
9009,1996,112,752099
9009,1997,84,753188
9009,1998,110,756219
9011,1987,27,239451
9011,1988,19,241631
9011,1989,23,241930
9011,1990,17,242606
9011,1991,13,242863
9011,1992,12,238837
9011,1993,22,240049
9011,1994,21,240686
9011,1995,37,242449
9011,1996,34,243078
9011,1997,15,242415
9011,1998,27,240165
9013,1987,8,120842
9013,1988,5,123237
9013,1993,11,123825
9013,1994,10,124346
9013,1995,11,124618
9013,1996,13,125461
9013,1997,10,126405
9015,1987,9,92823
9015,1988,5,94843
9015,1994,12,98985
9015,1995,17,99980
10001,1987,11,102121
10001,1988,3,102722
10001,1989,13,104636
10001,1993,14,112965
10001,1994,11,113847
10001,1996,11,115877
10001,1997,10,116488
10003,1987,51,405235
10003,1988,55,413172
10003,1989,69,419586
10003,1990,53,423085
10003,1991,64,431034
10003,1992,58,436439
10003,1993,71,440938
10003,1994,73,446213
10003,1995,62,451544
10003,1996,80,455912
10003,1997,75,460296
10003,1998,96,464797
10005,1987,8,101966
10005,1988,13,103558
10005,1989,11,104925
10005,1990,17,106435
10005,1992,16,114315
10005,1993,14,118046
10005,1994,10,121657
10005,1995,12,125420
10005,1996,22,129743
10005,1997,18,133589
10005,1998,20,137937
11001,1987,198,606949
11001,1988,196,600965
