FIPS,Year,InfectDeaths,Population
1001,1988,5,32326
1001,1994,12,36668
1001,1996,12,38592
1001,1998,13,40431
1003,1988,14,89292
1003,1989,16,90661
1003,1990,22,92442
1003,1991,23,96248
1003,1992,15,100036
1003,1993,13,104619
1003,1994,28,109289
1003,1995,28,113342
1003,1996,25,117378
1003,1997,23,121800
1003,1998,21,125666
1005,1988,2,23670
1005,1995,11,26118
1007,1988,3,15205
1009,1988,8,36138
1009,1994,10,40146
1009,1995,18,41622
1009,1996,12,42823
1009,1998,11,46160
1011,1988,2,10394
1013,1988,6,20496
1015,1988,18,111907
1015,1989,14,110975
1015,1990,23,110464
1015,1991,29,109565
1015,1992,24,109954
1015,1993,22,110480
1015,1994,35,110105
1015,1995,45,110530
1015,1996,32,110444
1015,1997,33,110848
1015,1998,27,110773
1017,1988,11,34712
1017,1989,18,34531
1017,1990,11,34091
1017,1991,13,34069
1017,1992,10,34243
1017,1993,10,34161
1017,1994,17,34265
1017,1996,10,34034
1017,1997,10,33833
1017,1998,10,33926
1019,1988,8,18403
1021,1988,3,30427
1021,1996,10,34382
1023,1988,4,15473
1025,1988,10,25650
1027,1988,4,12247
1029,1988,1,12035
1031,1988,10,38538
1031,1993,10,39501
1031,1994,10,40167
1033,1988,9,48716
1033,1990,15,48761
1033,1992,11,49625
1033,1995,12,50241
1033,1996,14,50641
1033,1997,12,51223
1033,1998,10,51201
1035,1988,3,13329
1037,1988,4,10392
1039,1988,6,33877
1039,1995,14,34503
1039,1997,12,34642
1041,1988,3,12740
1043,1988,15,62642
1043,1990,14,63462
1043,1991,11,64456
1043,1993,15,66396
1043,1994,14,67431
1043,1995,16,68392
1043,1996,21,69532
1045,1988,8,48838
1045,1992,14,47805
1045,1994,10,48070
1045,1995,11,47851
1045,1996,11,47070
1047,1988,12,46795
1047,1989,15,46041
1047,1990,10,45222
1047,1991,17,44909
1047,1992,10,44977
1047,1994,17,44828
1047,1995,15,44758
1047,1996,20,44446
1047,1998,14,43980
1049,1988,10,50832
1049,1994,15,55893
1049,1995,11,56022
1049,1997,15,57175
1051,1988,5,45895
1051,1991,14,48343
1051,1993,11,51635
1051,1995,17,54625
1051,1996,12,56083
