FIPS,Year,LwrRspDeaths,Population
1051,1981,6,41807
1051,1982,15,42314
1051,1983,8,42481
1051,1984,7,42915
1051,1985,13,43478
1051,1986,11,43951
1051,1987,6,45365
1051,1988,11,45895
1051,1991,21,48343
1051,1992,13,50071
1051,1993,12,51635
1051,1995,12,54625
1051,1996,13,56083
1051,1998,12,59547
1053,1979,7,36239
1053,1980,7,36702
1053,1981,11,35778
1053,1982,3,35620
1053,1983,10,35430
1053,1984,6,35478
1053,1985,4,35284
1053,1986,5,35292
1053,1987,12,34951
1053,1988,10,34106
1053,1991,12,33628
1053,1998,12,35746
1055,1979,20,98520
1055,1980,18,98491
1055,1981,28,98242
1055,1982,26,97426
1055,1983,16,97389
1055,1984,25,96790
1055,1985,19,96661
1055,1986,12,95808
1055,1987,19,95332
1055,1988,25,94652
1055,1989,27,94130
1055,1990,25,93463
1055,1991,27,93650
1055,1992,28,94149
1055,1993,32,94296
1055,1994,33,95220
1055,1995,27,95241
1055,1996,33,95736
1055,1997,29,96645
1055,1998,43,96859
1057,1979,2,17350
1057,1980,2,17815
1057,1981,5,17904
1057,1982,6,18063
1057,1983,4,17822
1057,1985,5,17881
1057,1986,2,17657
1057,1987,5,17280
1057,1988,3,16845
1059,1979,6,27389
1059,1980,2,26950
1059,1981,6,26677
1059,1982,9,26679
1059,1983,3,26749
1059,1984,9,27066
1059,1985,12,26945
1059,1986,7,26789
1059,1987,11,26573
1059,1988,8,26463
1059,1990,11,25955
1059,1991,13,26261
1059,1995,11,27966
1061,1979,2,22694
1061,1980,2,22993
1061,1981,2,22527
1061,1982,7,22384
1061,1983,4,22269
1061,1984,8,22389
1061,1985,6,22496
1061,1986,8,22290
1061,1987,5,22144
1061,1988,9,21919
1061,1996,11,23237
1061,1998,11,23478
1063,1979,1,10204
1063,1980,2,10359
1063,1981,2,10408
1063,1982,1,10292
1063,1983,3,10335
1063,1984,1,10205
1063,1985,2,10005
1063,1986,2,9798
1063,1987,1,9590
1063,1988,2,9518
1065,1979,4,14951
1065,1980,2,14619
1065,1983,2,14232
1065,1984,2,14237
1065,1985,3,13936
1065,1986,2,13958
1065,1987,4,13969
1065,1988,4,14154
1067,1980,3,14515
1067,1981,2,14604
1067,1982,2,14338
1067,1983,4,14223
1067,1984,6,14260
1067,1985,3,14304
1067,1986,3,14085
1067,1987,5,14137
1067,1988,2,14138
1069,1979,9,72094
1069,1980,7,72028
1069,1981,10,73310
1069,1982,5,73995
1069,1983,9,73906
1069,1984,8,74016
1069,1985,16,74562
1069,1986,11,75076
1069,1987,23,76261
1069,1988,27,76607
1069,1989,12,76692
1069,1990,15,77257
1069,1991,22,78300
1069,1992,26,79276
1069,1993,20,80120
1069,1994,10,79847
1069,1995,16,80363
1069,1996,20,81349
1069,1997,14,81658
1069,1998,27,82188
1071,1979,8,49845
1071,1980,12,49628
1071,1981,6,49383
1071,1982,11,49254
1071,1983,9,48460
1071,1984,10,48039
1071,1985,20,47288
1071,1986,13,46448
1071,1987,6,46269
1071,1988,10,46094
1071,1989,15,45457
1071,1990,13,45479
1071,1993,11,47344
1071,1994,11,47597
1071,1995,12,48262
1071,1996,13,49162
1071,1997,22,49300
1073,1979,107,642479
1073,1980,110,641307
1073,1981,128,636438
1073,1982,123,630156
1073,1983,104,627661
1073,1984,138,625666
1073,1985,143,624316
1073,1986,133,622509
1073,1987,114,621598
1073,1988,122,618872
1073,1989,146,615922
1073,1990,120,613185
1073,1991,123,617331
1073,1992,115,620134
1073,1993,122,622380
1073,1994,131,623653
1073,1995,113,623923
1073,1996,111,623186
1073,1997,151,621383
1073,1998,140,621546
1075,1979,1,15298
1075,1980,3,15575
1075,1981,1,15492
1075,1982,2,15485
1075,1983,2,15312
1075,1984,2,15289
1075,1985,1,15452
1075,1986,4,15381
1075,1987,4,15184
1075,1988,8,14901
1077,1979,13,77400
1077,1980,5,77351
1077,1981,16,77935
1077,1982,13,77428
1077,1983,3,76754
1077,1984,10,76605
1077,1985,13,76453
1077,1986,17,75996
1077,1987,19,75638
1077,1988,20,75234
1077,1989,14,74855
1077,1990,17,74953
1077,1991,18,76315
1077,1992,17,77344
1077,1993,19,78534
1077,1994,20,79126
1077,1995,10,79894
1077,1996,15,80570
1077,1997,16,80695
1077,1998,15,81302
1079,1979,7,29149
1079,1980,3,29066
1079,1981,4,29022
1079,1982,3,29335
1079,1983,2,29394
1079,1984,5,29725
1079,1985,6,29743
