FIPS,Year,SuicDeaths,Population
1061,1985,2,22496
1061,1986,1,22290
1061,1987,2,22144
1061,1988,2,21919
1063,1979,1,10204
1063,1980,1,10359
1063,1981,1,10408
1063,1983,2,10335
1063,1987,1,9590
1063,1988,1,9518
1065,1979,3,14951
1065,1982,2,14383
1065,1984,1,14237
1065,1985,1,13936
1065,1987,1,13969
1067,1979,2,14302
1067,1980,4,14515
1067,1981,2,14604
1067,1982,4,14338
1067,1983,2,14223
1067,1984,3,14260
1067,1985,1,14304
1067,1986,1,14085
1067,1987,1,14137
1067,1988,1,14138
1069,1979,9,72094
1069,1980,3,72028
1069,1981,6,73310
1069,1982,6,73995
1069,1983,8,73906
1069,1984,5,74016
1069,1985,5,74562
1069,1986,3,75076
1069,1987,8,76261
1069,1988,9,76607
1069,1989,10,76692
1069,1996,12,81349
1069,1998,12,82188
1071,1979,5,49845
1071,1980,4,49628
1071,1981,3,49383
1071,1982,2,49254
1071,1983,4,48460
1071,1984,7,48039
1071,1985,2,47288
1071,1986,8,46448
1071,1987,2,46269
1071,1988,7,46094
1073,1979,52,642479
1073,1980,72,641307
1073,1981,70,636438
1073,1982,81,630156
1073,1983,70,627661
1073,1984,83,625666
1073,1985,78,624316
1073,1986,68,622509
1073,1987,76,621598
1073,1988,78,618872
1073,1989,81,615922
1073,1990,68,613185
1073,1991,80,617331
1073,1992,75,620134
1073,1993,90,622380
1073,1994,94,623653
1073,1995,100,623923
1073,1996,83,623186
1073,1997,77,621383
1073,1998,84,621546
1075,1979,4,15298
1075,1980,4,15575
1075,1981,1,15492
1075,1982,2,15485
1075,1983,2,15312
1075,1984,1,15289
1075,1985,1,15452
1075,1986,1,15381
1075,1987,1,15184
1075,1988,3,14901
1077,1979,10,77400
1077,1980,5,77351
1077,1981,7,77935
1077,1982,11,77428
1077,1983,5,76754
1077,1984,7,76605
1077,1985,5,76453
1077,1986,4,75996
1077,1987,6,75638
1077,1988,7,75234
1077,1991,12,76315
1077,1992,10,77344
1077,1993,11,78534
1077,1994,12,79126
1077,1995,11,79894
1077,1997,12,80695
1077,1998,10,81302
1079,1979,1,29149
1079,1980,2,29066
1079,1981,2,29022
1079,1982,2,29335
1079,1983,2,29394
1079,1985,4,29743
1079,1986,5,29521
1079,1987,6,29561
1079,1988,2,29638
1081,1979,5,74156
1081,1980,3,74441
1081,1981,3,75682
1081,1982,2,76923
1081,1983,5,76865
1081,1984,10,77936
1081,1985,3,78741
1081,1986,4,80292
1081,1987,8,80069
1081,1988,7,81914
1081,1989,15,83053
1081,1990,11,84204
1081,1995,12,95970
1081,1996,10,98688
1081,1998,14,106125
1083,1979,4,43223
1083,1980,2,44171
1083,1981,4,43942
1083,1982,2,44496
1083,1983,5,45250
1083,1984,6,45555
1083,1985,8,47148
1083,1986,8,47815
1083,1987,6,48961
1083,1988,4,50055
1083,1992,11,54477
1085,1979,1,12752
1085,1982,1,12192
1085,1986,2,12015
1085,1988,1,11849
1087,1981,3,25131
1087,1982,3,24931
1087,1983,1,24477
1087,1984,2,23987
1087,1986,2,23772
1087,1988,2,23729
1089,1979,25,190474
1089,1980,46,192259
1089,1981,21,194817
1089,1982,21,197380
1089,1983,17,200869
1089,1984,13,204707
1089,1985,28,209050
1089,1986,35,213618
1089,1987,20,218568
1089,1988,34,224282
1089,1989,23,228614
1089,1990,25,231064
1089,1991,23,237968
1089,1992,19,245313
1089,1993,21,253375
1089,1994,27,256629
1089,1995,28,255417
1089,1996,23,255934
1089,1997,24,257015
1089,1998,34,261389
1091,1981,1,23307
1091,1983,2,23098
1091,1984,2,22891
1091,1986,1,22408
1091,1987,3,22291
1091,1988,2,22121
1093,1979,5,28372
1093,1980,4,28568
1093,1981,4,28776
1093,1983,1,29340
1093,1984,3,28964
1093,1985,4,28929
1093,1986,4,28337
1093,1987,2,28379
1093,1988,3,28058
1095,1979,10,62235
1095,1980,10,62781
1095,1981,6,63323
1095,1982,9,63646
1095,1983,16,64008
1095,1984,16,64802
1095,1985,10,65820
1095,1986,8,66009
1095,1987,13,66509
1095,1988,12,66677
1095,1989,10,66468
1095,1990,12,66745
1095,1991,10,67775
1095,1995,20,74289
1095,1996,13,75586
1095,1997,16,76288
1095,1998,18,76656
1097,1979,35,350614
1097,1980,44,353454
1097,1981,40,357962
1097,1982,33,361376
1097,1983,47,362641
1097,1984,48,361431
1097,1985,26,363711
1097,1986,49,366066
1097,1987,40,367457
1097,1988,38,364658
1097,1989,47,361732
1097,1990,52,361158
1097,1991,36,364754
1097,1992,26,369310
1097,1993,43,375039
1097,1994,42,376450
1097,1995,52,375513
1097,1996,27,375882
1097,1997,48,377064
1097,1998,46,377604
1099,1979,4,21424
1099,1980,3,21516
1099,1981,1,21442
1099,1982,3,21400
1099,1983,2,21221
1099,1984,1,21606
1099,1985,1,21504
1099,1987,1,21693
1099,1988,1,21801
1101,1979,21,186473
1101,1980,10,189966
1101,1981,24,192034
1101,1982,22,192107
1101,1983,15,192011
1101,1984,17,194077
1101,1985,12,195114
1101,1986,17,197202
1101,1987,12,198532
1101,1988,20,199096
1101,1989,16,200114
1101,1990,15,199174
1101,1991,15,202304
1101,1992,19,205085
1101,1993,21,207710
1101,1994,11,209796
1101,1995,16,210740
1101,1997,17,212024
1101,1998,12,212427
1103,1979,12,87564
1103,1980,15,87055
1103,1981,6,86780
1103,1982,12,87065
1103,1983,7,87567
1103,1984,13,88629
1103,1985,6,90034
1103,1986,11,91379
1103,1987,16,92869
1103,1988,14,93489
1103,1989,13,94289
1103,1990,13,95317
1103,1991,11,97203
1103,1992,17,98551
1103,1993,13,100215
1103,1995,15,101842
1103,1996,19,102425
1103,1998,13,104373
1105,1979,1,13932
1105,1980,3,14068
1105,1981,2,13907
1105,1982,2,13794
1107,1980,2,20259
1107,1981,2,20486
1107,1982,2,20349
1107,1983,1,20377
1107,1984,1,20310
1107,1985,2,20265
1107,1986,1,20112
1107,1987,2,19775
1107,1988,3,19490
1109,1979,2,26039
1109,1981,1,26977
1109,1983,1,26274
1109,1984,2,25856
1109,1986,1,26192
1109,1987,1,26027
1109,1988,1,25970
1111,1979,1,18696
1111,1980,1,18931
1111,1981,1,18989
1111,1982,2,18994
1111,1984,3,18747
