FIPS,Year,Deaths,Population
1001,1979,133,31077
1001,1980,150,31327
1001,1981,137,30961
1001,1982,153,30958
1001,1983,169,30946
1001,1984,185,30944
1001,1985,152,31053
1001,1986,176,31684
1001,1987,156,31999
1001,1988,156,32326
1001,1989,150,32672
1001,1990,195,32837
1001,1991,164,33577
1001,1992,156,34553
1001,1993,177,35470
1001,1994,202,36668
1001,1995,178,37522
1001,1996,196,38592
1001,1997,184,39568
1001,1998,205,40431
1003,1979,385,73403
1003,1980,398,75148
1003,1981,441,76571
1003,1982,400,78399
1003,1983,414,79797
1003,1984,425,82352
1003,1985,426,84725
1003,1986,463,86371
1003,1987,417,88118
1003,1988,439,89292
1003,1989,412,90661
1003,1990,482,92442
1003,1991,473,96248
1003,1992,500,100036
1003,1993,489,104619
1003,1994,555,109289
1003,1995,574,113342
1003,1996,558,117378
1003,1997,555,121800
1003,1998,620,125666
1005,1979,181,23272
1005,1980,163,23591
1005,1981,179,23513
1005,1982,167,23485
1005,1983,168,23473
1005,1984,151,23568
1005,1985,161,23554
1005,1986,142,23482
1005,1987,125,23592
1005,1988,146,23670
1005,1989,146,23752
1005,1990,176,23798
1005,1991,156,24848
1005,1992,149,25253
1005,1993,127,25622
1005,1994,119,26029
1005,1995,171,26118
1005,1996,133,26489
1005,1997,139,26617
1005,1998,139,27039
1007,1979,107,14792
1007,1980,92,14961
1007,1981,74,15029
1007,1982,91,15189
1007,1983,91,15140
1007,1984,85,15183
1007,1985,96,15254
1007,1986,78,15003
1007,1987,90,15243
1007,1988,86,15205
1007,1989,89,15424
1007,1990,90,15562
1007,1991,91,16060
1007,1992,88,16362
1007,1993,98,16771
1007,1994,86,17000
1007,1995,103,17469
1007,1996,101,17827
1007,1997,92,18285
1007,1998,95,18735
1009,1979,156,34501
1009,1980,169,34907
1009,1981,179,34998
1009,1982,166,34609
1009,1983,174,34680
1009,1984,174,34973
1009,1985,149,35501
1009,1986,178,35983
1009,1987,178,35961
1009,1988,149,36138
1009,1989,212,36614
1009,1990,188,36988
1009,1991,178,37908
1009,1992,187,38468
1009,1993,174,39486
1009,1994,214,40146
1009,1995,222,41622
1009,1996,199,42823
1009,1997,193,44403
1009,1998,220,46160
1011,1979,88,10234
1011,1980,84,10037
1011,1981,69,10058
1011,1982,66,10008
1011,1983,67,10043
1011,1984,69,10138
1011,1985,74,10052
1011,1986,84,9750
1011,1987,70,10130
1011,1988,82,10394
1011,1989,70,10360
1011,1990,68,10194
1011,1991,62,10352
1011,1992,77,10292
1011,1993,69,10391
1011,1994,78,10549
1011,1995,66,10589
1011,1996,54,10761
1011,1997,75,10788
1011,1998,67,10816
1013,1979,136,19904
1013,1980,147,20381
1013,1981,129,20753
1013,1982,127,20915
1013,1983,154,20874
1013,1984,114,20868
1013,1985,141,20812
1013,1986,135,20674
1013,1987,124,20708
1013,1988,155,20496
1013,1989,115,20283
1013,1990,113,20103
1013,1991,142,19969
1013,1992,124,19985
1013,1993,142,20032
1013,1994,133,20069
1013,1995,139,20081
1013,1996,129,20121
1013,1997,126,20099
1013,1998,125,19971
1015,1979,602,112902
1015,1980,634,115803
1015,1981,582,116509
1015,1982,638,117589
1015,1983,651,116465
1015,1984,609,116749
1015,1985,541,113669
1015,1986,650,112622
1015,1987,587,112884
1015,1988,634,111907
1015,1989,644,110975
1015,1990,637,110464
1015,1991,640,109565
1015,1992,636,109954
1015,1993,655,110480
1015,1994,623,110105
1015,1995,631,110530
1015,1996,646,110444
1015,1997,621,110848
1015,1998,616,110773
1017,1979,277,37340
1017,1980,253,37174
1017,1981,231,37198
1017,1982,217,37078
1017,1983,254,36899
1017,1984,210,36611
1017,1985,252,36082
1017,1986,225,35402
1017,1987,243,35136
1017,1988,220,34712
1017,1989,228,34531
1017,1990,207,34091
1017,1991,232,34069
1017,1992,237,34243
1017,1993,217,34161
1017,1994,235,34265
1017,1995,187,34366
1017,1996,208,34034
1017,1997,199,33833
1017,1998,195,33926
1019,1979,101,17825
1019,1980,113,17947
1019,1981,111,18383
1019,1982,105,18571
1019,1983,101,18149
1019,1984,107,17955
1019,1985,92,17858
1019,1986,127,17948
1019,1987,116,18167
1019,1988,109,18403
1019,1989,123,18333
1019,1990,125,18413
1019,1991,126,18685
1019,1992,110,18979
1019,1993,115,19498
1019,1994,132,19924
1019,1995,123,20518
1019,1996,129,20990
1019,1997,124,21464
1019,1998,122,21878
1021,1979,179,29122
1021,1980,190,29160
1021,1981,193,29182
1021,1982,202,28754
1021,1983,180,29102
1021,1984,191,29391
1021,1985,168,29807
1021,1986,186,30124
1021,1987,172,30144
1021,1988,173,30427
1021,1989,162,30422
1021,1990,161,30475
1021,1991,178,31141
1021,1992,170,31502
1021,1993,175,32030
1021,1994,165,32702
1021,1995,192,33460
1021,1996,198,34382
1021,1997,190,35155
1021,1998,203,35893
1023,1979,86,16105
1023,1980,103,15987
1023,1981,94,15785
1023,1982,75,15487
1023,1983,91,15691
1023,1984,91,15670
1023,1985,95,15740
1023,1986,101,15742
1023,1987,88,15573
1023,1988,89,15473
1023,1989,81,15148
1023,1990,92,15008
1023,1991,72,15003
1023,1992,79,15163
1023,1993,92,15177
1023,1994,92,15157
1023,1995,100,15178
1023,1996,90,15206
1023,1997,93,15110
1023,1998,77,15130
1025,1979,146,26313
1025,1980,143,26367
1025,1981,185,26752
1025,1982,158,26500
1025,1983,127,26337
1025,1984,148,26121
1025,1985,138,25890
1025,1986,128,25823
1025,1987,146,25987
1025,1988,163,25650
1025,1989,136,25599
1025,1990,145,25660
1025,1991,144,25795
1025,1992,137,25906
1025,1993,154,25957
1025,1994,166,26057
1025,1995,136,25854
1025,1996,146,25900
1025,1997,144,26321
1025,1998,113,26148
1027,1979,81,13127
1027,1980,95,12921
1027,1981,68,13040
1027,1982,65,12885
1027,1983,81,12855
1027,1984,80,12713
1027,1985,74,12738
1027,1986,82,12499
1027,1987,79,12319
1027,1988,91,12247
1027,1989,77,12119
1027,1990,74,12139
1027,1991,62,12201
1027,1992,70,12297
1027,1993,71,12428
1027,1994,54,12447
1027,1995,66,12474
1027,1996,76,12624
1027,1997,64,12838
1027,1998,66,13011
1029,1979,58,11957
1029,1980,76,11982
1029,1981,76,12162
1029,1982,71,12216
1029,1983,66,12057
1029,1984,54,11936
1029,1985,72,11972
1029,1986,71,11864
1029,1987,66,12021
1029,1988,77,12035
1029,1989,71,12027
1029,1990,66,11986
1029,1991,63,11941
1029,1992,50,12068
1029,1993,74,12279
1029,1994,75,12249
1029,1995,72,12307
1029,1996,81,12467
1029,1997,82,12939
1029,1998,78,13101
1031,1979,187,36293
1031,1980,171,36954
1031,1981,199,37976
1031,1982,190,38014
1031,1983,189,38358
1031,1984,194,38275
1031,1985,193,38337
1031,1986,186,38589
1031,1987,214,38294
1031,1988,191,38538
1031,1989,180,38184
1031,1990,174,38038
1031,1991,167,38288
