FIPS,Year,SubUseDisDeaths,Population
4015,2006,45,180064
4015,2007,57,183174
4015,2008,85,183030
4017,1999,31,92563
4017,2000,23,93775
4017,2001,32,93951
4017,2002,36,96054
4017,2003,40,97344
4017,2004,42,98479
4017,2005,36,99665
4017,2006,55,100924
4017,2007,45,102037
4017,2008,40,102625
4019,1999,212,773496
4019,2000,246,787175
4019,2001,211,801022
4019,2002,233,814913
4019,2003,245,825312
4019,2004,250,839607
4019,2005,272,856354
4019,2006,292,875298
4019,2007,279,888968
4019,2008,236,899809
4021,1999,27,162530
4021,2000,36,168546
4021,2001,30,175970
4021,2002,47,184989
4021,2003,50,195415
4021,2004,55,206413
4021,2005,53,221854
4021,2006,44,256186
4021,2007,77,290021
4021,2008,58,318286
4025,1999,30,146889
4025,2000,23,150958
4025,2001,43,155503
4025,2002,44,159638
4025,2003,54,163972
4025,2004,60,169107
4025,2005,58,176167
4025,2006,46,184161
4025,2007,78,188556
4025,2008,67,190402
4027,1999,23,145534
4027,2000,16,149511
4027,2001,21,151997
4027,2002,13,154358
4027,2003,23,156737
4027,2004,27,161292
4027,2005,23,166708
4027,2006,24,171338
4027,2007,45,174713
4027,2008,28,178204
5005,2008,13,36287
5007,2001,11,149208
5007,2002,16,154649
5007,2003,18,161249
5007,2004,21,168329
5007,2005,22,175871
5007,2006,30,184482
5007,2007,33,192361
5007,2008,35,199222
5009,2006,12,33269
5009,2007,10,33888
5031,2003,11,80356
5031,2005,10,82812
5031,2006,14,84898
5031,2007,10,86451
5031,2008,21,88306
5033,2004,11,54026
5033,2005,11,54939
5033,2006,12,56177
5033,2007,17,57165
5033,2008,13,57843
5035,2002,10,48288
5035,2004,10,47979
5035,2006,13,48145
5035,2007,12,48247
5045,2004,10,91979
5045,2005,10,94926
5045,2006,16,98532
5045,2007,13,101138
5045,2008,18,103807
5051,2001,30,80089
5051,2002,17,80695
5051,2003,26,81611
5051,2004,23,82237
5051,2005,27,83135
5051,2006,35,84915
5051,2007,44,85504
5051,2008,39,86389
5055,2004,10,36556
5055,2005,11,37104
5055,2006,14,37942
5055,2007,10,38388
5055,2008,15,38710
5059,2008,11,30457
5069,2000,12,78955
5069,2005,10,75611
5069,2008,13,73624
5085,2006,10,59881
5085,2008,16,63173
5093,2004,10,45105
5093,2006,12,44342
5093,2007,13,44255
5093,2008,12,44469
5115,2005,16,54266
5115,2006,10,55461
5115,2007,11,56415
